院校ID, 院校名称                , 地区  , 类型  , 院校标签                                       , 行业标签  , 所属部委, 专业组ID     , 专业组名称               , 专业组类别, 批次         , 选考科目, 专业ID         , 专业名称                  , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签        , 专业组备注                , 专业备注
44A5  , 北京师范大学（珠海校区）, 珠海市, 师范类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , BJSFDXZHQX_TQD_H_BX    , 公费师范生历史组不限     , 历史组    , 提前本科批D段, 不限    , BJSFDXZHQX_TQD_H_BX001   , 汉语言文学                ,          0,          0,            0,          0,          0,            0,          2,        645,            0,        0  ,        647,            0,          0,          0,            0,        0  ,          0,            0,          0,          0,            0,        0  ,          0,            0, 公费师范生        , 国家公费师范生            , 
44A5  , 北京师范大学（珠海校区）, 珠海市, 师范类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , BJSFDXZHQX_TQD_H_BX    , 公费师范生历史组不限     , 历史组    , 提前本科批D段, 不限    , BJSFDXZHQX_TQD_H_BX002   , 历史学                    ,          0,          0,            0,          0,          0,            0,          2,        644,            0,        0  ,        645,            0,          2,        645,            0,        0  ,        649,            0,          0,          0,            0,        0  ,          0,            0, 公费师范生        , 国家公费师范生            , 
44A5  , 北京师范大学（珠海校区）, 珠海市, 师范类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , BJSFDXZHQX_TQD_H_SZ    , 公费师范生历史组思想政治 , 历史组    , 提前本科批D段, 思想政治, BJSFDXZHQX_TQD_H_SZ001   , 思想政治教育              ,          0,          0,            0,          0,          0,            0,          2,        640,            0,        0  ,        643,            0,          9,        620,            0,        0  ,        632,            0,         13,        592,            0,        0  ,        634,            0, 公费师范生        , 国家公费师范生            , 
44A5  , 北京师范大学（珠海校区）, 珠海市, 师范类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , BJSFDXZHQX_TQD_H_BX    , 公费师范生历史组不限     , 历史组    , 提前本科批D段, 不限    , BJSFDXZHQX_TQD_H_BX003   , 英语                      ,          0,          0,            0,          0,          0,            0,          2,        656,            0,        0  ,        660,            0,          2,        640,            0,        0  ,        649,            0,          8,        610,            0,        0  ,        633,            0, 公费师范生        , 国家公费师范生            , 
44A5  , 北京师范大学（珠海校区）, 珠海市, 师范类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , BJSFDXZHQX_TQD_W_WH    , 公费师范生物理组物理+化学, 物理组    , 提前本科批D段, 化学    , BJSFDXZHQX_TQD_W_WH001   , 地理科学                  ,          0,          0,            0,          0,          0,            0,          2,        651,            0,        0  ,        652,            0,          2,        631,            0,        0  ,        632,            0,          6,        596,            0,        0  ,        617,            0, 公费师范生        , 国家公费师范生            , 
44A5  , 北京师范大学（珠海校区）, 珠海市, 师范类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , BJSFDXZHQX_TQD_W_WH    , 公费师范生物理组物理+化学, 物理组    , 提前本科批D段, 化学    , BJSFDXZHQX_TQD_W_WH002   , 数学与应用数学            ,          0,          0,            0,          0,          0,            0,          3,        655,            0,        0  ,        659,            0,         14,        618,            0,        0  ,        641,            0,         10,        616,            0,        0  ,        652,            0, 公费师范生        , 国家公费师范生            , 
44A5  , 北京师范大学（珠海校区）, 珠海市, 师范类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , BJSFDXZHQX_TQD_W_WH    , 公费师范生物理组物理+化学, 物理组    , 提前本科批D段, 化学    , BJSFDXZHQX_TQD_W_WH003   , 物理学                    ,          0,          0,            0,          0,          0,            0,          2,        653,            0,        0  ,        653,            0,          2,        641,            0,        0  ,        641,            0,          8,        582,            0,        0  ,        627,            0, 公费师范生        , 国家公费师范生            , 
44A5  , 北京师范大学（珠海校区）, 珠海市, 师范类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , BJSFDXZHQX_TQA_H_BX    , 优师计划历史组不限       , 历史组    , 提前本科批A段, 不限    , BJSFDXZHQX_TQA_H_BX001   , 汉语言文学                ,          0,          0,            0,          0,          0,            0,          7,        624,            0,        0  ,        631,            0,         12,        632,            0,        0  ,        646,            0,          7,        619,            0,        0  ,        644,            0, 优师计划          , 地方优师计划              , 
44A5  , 北京师范大学（珠海校区）, 珠海市, 师范类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , BJSFDXZHQX_TQA_H_BX    , 优师计划历史组不限       , 历史组    , 提前本科批A段, 不限    , BJSFDXZHQX_TQA_H_BX002   , 历史学                    ,          0,          0,            0,          0,          0,            0,          6,        612,            0,        0  ,        626,            0,          7,        622,            0,        0  ,        632,            0,          8,        599,            0,        0  ,        621,            0, 优师计划          , 地方优师计划              , 
44A5  , 北京师范大学（珠海校区）, 珠海市, 师范类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , BJSFDXZHQX_TQA_H_BX    , 优师计划历史组不限       , 历史组    , 提前本科批A段, 不限    , BJSFDXZHQX_TQA_H_BX003   , 英语                      ,          0,          0,            0,          0,          0,            0,          6,        618,            0,        0  ,        633,            0,          4,        620,            0,        0  ,        630,            0,          8,        610,            0,        0  ,        633,            0, 优师计划          , 地方优师计划              , 
44A5  , 北京师范大学（珠海校区）, 珠海市, 师范类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , BJSFDXZHQX_TQA_H_SZ    , 优师计划历史组思想政治   , 历史组    , 提前本科批A段, 思想政治, BJSFDXZHQX_TQA_H_SZ001   , 思想政治教育              ,          0,          0,            0,          0,          0,            0,          8,        612,            0,        0  ,        634,            0,          1,        637,            0,        0  ,        637,            0,         13,        592,            0,        0  ,        634,            0, 优师计划          , 地方优师计划              , 
44A5  , 北京师范大学（珠海校区）, 珠海市, 师范类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , BJSFDXZHQX_TQA_W_BX    , 优师计划物理组不限       , 物理组    , 提前本科批A段, 不限    , BJSFDXZHQX_TQA_W_BX001   , 英语                      ,          0,          0,            0,          0,          0,            0,          4,        627,            0,        0  ,        646,            0,          4,        620,            0,        0  ,        637,            0,          0,          0,            0,        0  ,          0,            0, 优师计划          , 地方优师计划              , 
44A5  , 北京师范大学（珠海校区）, 珠海市, 师范类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , BJSFDXZHQX_TQA_W_WH    , 优师计划物理组物理+化学  , 物理组    , 提前本科批A段, 化学    , BJSFDXZHQX_TQA_W_WH001   , 地理科学                  ,          0,          0,            0,          0,          0,            0,          7,        609,            0,        0  ,        631,            0,          2,        617,            0,        0  ,        617,            0,          6,        596,            0,        0  ,        617,            0, 优师计划          , 地方优师计划              , 
