院校ID, 院校名称, 地区              , 类型  , 院校标签, 行业标签, 所属部委, 专业组ID, 专业组名称          , 专业组类别, 批次         , 选考科目, 专业ID    , 专业名称                                                            , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签    , 专业组备注    , 专业备注
  5306, 大理大学, 云南大理白族自治州, 综合类, 公办    ,         , 云南省  , DLTQAw99, 免费医学生物理组化学, 物理组    , 提前本科批A段, 化学    , DLTQAw9901, 临床医学（国家免费医学生）                                          ,          0,          0,            0,          0,          0,            0,         60,        468,        86842,     549.73,        585,            0,         60,        467,        72259,     521.07,        558,            0,         40,        451,        69302,     508.63,        586,         8300, 国家免费医学生, 国家免费医学生, "填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年免费定向计划考生须知》，学制五年，6000元/年，色盲、色弱不予录取"
  5306, 大理大学, 云南大理白族自治州, 综合类, 公办    ,         , 云南省  , DLPBw11 , 专业组11            , 物理组    , 本科批B段    , 化学    , DLPBw1101 , 临床医 学                                                            ,          0,          0,            0,          0,          0,            0,        140,        554,        29087,     563.20,        585,            0,        140,        562,        19735,     568.57,        596,            0,        140,        545,        19830,     554.14,        570,        12072, 国家专项计划  , 国家专项计划  , 校本部，五年，6000元/年，色盲、色弱不录
  5306, 大理大学, 云南大理白族自治州, 综合类, 公办    ,         , 云南省  , DLPBw12 , 专业组12            , 物理组    , 本科批B段    , 化学    , DLPBw1201 , 临床医学                                                            ,          0,          0,            0,          0,          0,            0,         20,        555,        28548,     568.85,        582,            0,         20,        562,        19735,     566.65,        578,            0,         10,        554,        16767,     560.98,        570,        12072, 地方专项计划  , 地方专项计划  , 校本部，五年，6000元/年，色盲、色弱不录
  5306, 大理大学, 云南大理白族自治州, 综合类, 公办    ,         , 云南省  , DLPBw13 , 专业组13            , 物理组    , 本科批B段    , 化学    , DLPBw1301 , 临床医学                                                            ,          0,          0,            0,          0,          0,            0,        269,        554,        29087,     562.83,        591,            0,        265,        527,        35436,     559.22,        585,            0,        295,        549,        18448,     557.60,        585,         8522,               ,               , 校本部，五年，6000元/年，色盲、色弱不录
  5306, 大理大学, 云南大理白族自治州, 综合类, 公办    ,         , 云南省  , DLPBw13 , 专业组13            , 物理组    , 本科批B段    , 化学    , DLPBw1302 , 医学影像学                                                          ,          0,          0,            0,          0,          0,            0,         65,        550,        31275,     553.18,        604,            0,         45,        521,        38526,     533.62,        567,            0,         46,        545,        19830,     549.93,        564,        13735,               ,               , 校本部，五年，5500元/年，色盲、色弱不录
  5306, 大理大学, 云南大理白族自治州, 综合类, 公办    ,         , 云南省  , DLPBw13 , 专业组13            , 物理组    , 本科批B段    , 化学    , DLPBw1303 , 儿科学                                                              ,          0,          0,            0,          0,          0,            0,         38,        551,        30718,     552.26,        554,            0,         33,        519,        39624,     532.15,        572,            0,         32,        546,        19450,     548.32,        549,        18448,               ,               , 校本部，五年，5500元/年，色盲、色弱不录
  5306, 大理大学, 云南大理白族自治州, 综合类, 公办    ,         , 云南省  , DLPBw13 , 专业组13            , 物理组    , 本科批B段    , 化学    , DLPBw1304 , 眼视光医学                                                          ,          0,          0,            0,          0,          0,            0,         34,        550,        31275,     554.29,        584,            0,         30,        518,        40177,     529.93,        561,            0,         29,        544,        20191,     548.03,        560,        14884,               ,               , 校本部，五年，5500元/年，色盲、色弱不录
  5306, 大理大学, 云南大理白族自治州, 综合类, 公办    ,         , 云南省  , DLPBw13 , 专业组13            , 物理组    , 本科批B段    , 化学    , DLPBw1305 , 口腔医学                                                            ,          0,          0,            0,          0,          0,            0,         25,        568,        22302,     575.48,        595,            0,         20,        576,        14643,     580.40,        600,            0,         19,        565,        13433,     569.66,        579,         9858,               ,               , 校本部，五年，5500元/年，色盲、色弱不录
  5306, 大理大学, 云南大理白族自治州, 综合类, 公办    ,         , 云南省  , DLPBw14 , 专业组14            , 物理组    , 本科批B段    , 化学    , DLPBw1401 , 预防医学                                                            ,          0,          0,            0,          0,          0,            0,        126,        514,        53307,     524.25,        601,            0,         92,        509,            0,     519.18,        548,            0,        113,        503,        38097,     525.66,        551,        17796,               ,               , 校本部，五年，5500元/年，色盲、色弱不录
  5306, 大理大学, 云南大理白族自治州, 综合类, 公办    ,         , 云南省  , DLPBw14 , 专业组14            , 物理组    , 本科批B段    , 化学    , DLPBw1402 , 药学                                                                ,          0,          0,            0,          0,          0,            0,         98,        516,        52003,     524.10,        552,            0,        105,        509,            0,     518.27,        555,            0,         89,        504,        37615,     527.44,        552,        17451,               ,               , 校本部，四年，6000元/年，色盲、色弱不录
