院校ID, 院校名称, 地区      , 类型  , 院校标签, 行业标签  , 所属部委    , 专业组ID , 专业组名称              , 专业组类别, 批次         , 选考科目, 专业ID     , 专业名称                , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签            , 专业组备注    , 专业备注
  5320, 昆明学院, 云南昆明市, 综合类, 公办    , 教育、工科, 云南省教育厅, KMXTQAa99, 地方免费师范生物理组不限, 物理组    , 提前本科批A段, 不限    , KMXTQAa9901, 小学教育（师范类）      ,          0,          0,            0,          0,          0,            0,         64,        554,            0,          0,        600,            0,        106,        525,            0,          0,        596,            0,        100,        522,            0,          0,        580,            0, 地方免费师范生、免学费, 地方免费师范生, "小学全科教师、地方免费师范生，填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年免费定向计划考生须知》、免学费"
  5320, 昆明学院, 云南昆明市, 综合类, 公办    , 教育、工科, 云南省教育厅, KMXTQAa99, 地方免费师范生物理组不限, 物理组    , 提前本科批A段, 不限    , KMXTQAa9902, 英语（师范类）          ,          0,          0,            0,          0,          0,            0,         11,        548,            0,          0,        599,            0,         21,        508,            0,          0,        602,            0,          0,          0,            0,          0,          0,            0, 地方免费师范生、免学费, 地方免费师范生, "初中一专多能教师、地方免费师范生、加试外语口试、只招英语语种，填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年免费定向计划考生须知》、免学费"
  5320, 昆明学院, 云南昆明市, 综合类, 公办    , 教育、工科, 云南省教育厅, KMXTQAa98, 地方免费师范生物理组化学, 物理组    , 提前本科批A段, 化学    , KMXTQAa9801, 数学与应用数学（师范类）,          0,          0,            0,          0,          0,            0,         27,        534,            0,          0,        596,            0,         28,        481,            0,          0,        611,            0,         30,        462,            0,          0,        572,            0, 地方免费师范生、免学费, 地方免费师范生, "初中一专多能教师、地方免费师范生，填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年免费定向计划考生须知》、免学费"
  5320, 昆明学院, 云南昆明市, 综合类, 公办    , 教育、工科, 云南省教育厅, KMPBa01  , 专业组01                , 物理组    , 本科批B段    , 不限    , KMPBa0101  , 学前教育（师范类）      ,          0,          0,            0,          0,          0,            0,         88,        478,            0,          0,        517,            0,         80,        471,            0,          0,        500,            0,         60,        466,            0,          0,        492,            0,                       ,               , "校本部，四年，4200元/年"
  5320, 昆明学院, 云南昆明市, 综合类, 公办    , 教育、工科, 云南省教育厅, KMPBa01  , 专业组01                , 物理组    , 本科批B段    , 不限    , KMPBa0102  , 酒店管理                ,          0,          0,            0,          0,          0,            0,         41,        478,            0,          0,        504,            0,         36,        457,            0,          0,        492,            0,         39,        436,            0,          0,        478,            0,                       ,               , "校本部，四年，4500元/年"
  5320, 昆明学院, 云南昆明市, 综合类, 公办    , 教育、工科, 云南省教育厅, KMPBa01  , 专业组01                , 物理组    , 本科批B段    , 不限    , KMPBa0103  , 智慧建筑与建造          ,          0,          0,            0,          0,          0,            0,         41,        478,            0,          0,        529,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                       ,               , "校本部，四年，5000元/年"
  5320, 昆明学院, 云南昆明市, 综合类, 公办    , 教育、工科, 云南省教育厅, KMPBa01  , 专业组01                , 物理组    , 本科批B段    , 不限    , KMPBa0104  , 数字经济                ,          0,          0,            0,          0,          0,            0,         41,        482,            0,          0,        522,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                       ,               , "校本部，四年，4500元/年"
  5320, 昆明学院, 云南昆明市, 综合类, 公办    , 教育、工科, 云南省教育厅, KMPBa01  , 专业组01                , 物理组    , 本科批B段    , 不限    , KMPBa0105  , 小学教育（师范类）      ,          0,          0,            0,          0,          0,            0,         36,        495,            0,          0,        537,            0,          4,        525,            0,          0,        536,            0,          2,        525,            0,          0,        538,            0,                       ,               , "校本部，四年，4200元/年"
  5320, 昆明学院, 云南昆明市, 综合类, 公办    , 教育、工科, 云南省教育厅, KMPBa01  , 专业组01                , 物理组    , 本科批B段    , 不限    , KMPBa0106  , 泰语                    ,          0,          0,            0,          0,          0,            0,         22,        478,            0,          0,        511,            0,          9,        474,            0,          0,        489,            0,         19,        431,            0,          0,        480,            0,                       ,               , "校本部，四年，4200元/年"
  5320, 昆明学院, 云南昆明市, 综合类, 公办    , 教育、工科, 云南省教育厅, KMPBa01  , 专业组01                , 物理组    , 本科批B段    , 不限    , KMPBa0107  , 英语（师范类）          ,          0,          0,            0,          0,          0,            0,         22,        500,            0,          0,        545,            0,         37,        513,            0,          0,        555,            0,         68,        491,            0,          0,        530,            0,                       ,               , "校本部；加试外语口试，只招英语语种，四年，4200元/年"
