院校ID, 院校名称, 地区  , 类型  , 院校标签                     , 行业标签  , 所属部委, 专业组ID   , 专业组名称        , 专业组类别, 批次         , 选考科目  , 专业ID       , 专业名称                          , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签                      , 专业组备注                 , 专业备注
  5005, 西南大学, 重庆市, 综合类, 211、双一流、师大六姐妹、公办, 教育、科研, 教育部  , XNDXTQAw01 , 优师计划物理组化学, 物理组    , 提前本科批A段, 化学      , XNDXTQAw0101 , 数学与应用数学（师范类）          ,          0,          0,            0,          0,          0,            0,          8,        613,         6293,        616,        619,            0,          0,        611,         5523,        623,          0,            0,          0,        601,         5547,        610,        618,            0, 优师专项、免学费                , 优师专项 免学费            , "填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年优师专项考生须知》"
  5005, 西南大学, 重庆市, 综合类, 211、双一流、师大六姐妹、公办, 教育、科研, 教育部  , XNDXTQAw02 , 优师计划物理组不限, 物理组    , 提前本科批A段, 不限      , XNDXTQAw0201 , 英语（师范类）                    ,          0,          0,            0,          0,          0,            0,          5,        612,         6528,        615,        618,            0,          0,        616,         4661,        618,          0,            0,          0,          0,            0,          0,          0,            0, 优师专项、免学费                , 优师专项 免学费            , "加试外语口试，只招英语语种，须口试成绩合格，填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年优师专项考生须知》"
  5005, 西南大学, 重庆市, 综合类, 211、双一流、师大六姐妹、公办, 教育、科研, 教育部  , XNDXTQDw01 , 专业组01          , 物理组    , 提前本科批D段, 化学      , XNDXTQDw0101 , 计算机科学与技术（师范类）        ,          0,        632,          1849,        632,        632,            0,          2,        635,         2260,        636,        636,            0,          0,        632,          1849,        632,        632,            0,          0,        632,          1849,        632,        632,            0, 国家公费师范生、定向专业、免学费, 国家公费师范生 本研衔接培养, "定向任教地:昆明市"
  5005, 西南大学, 重庆市, 综合类, 211、双一流、师大六姐妹、公办, 教育、科研, 教育部  , XNDXTQDw02 , 专业组02          , 物理组    , 提前本科批D段, 化学、生物, XNDXTQDw0201 , 生物科学（师范类）                ,          0,        627,          2290,        632,        647,            0,          8,        627,         3460,        628,        630,            0,          0,        617,         4513,        631,          0,            0,          0,        627,          2290,        632,        647,            0, 国家公费师范生、定向专业、免学费, 国家公费师范生 本研衔接培养, "定向任教地:昆明市、红河州、临沧市，不招色盲考生"
  5005, 西南大学, 重庆市, 综合类, 211、双一流、师大六姐妹、公办, 教育、科研, 教育部  , XNDXTQDw03 , 专业组03          , 物理组    , 提前本科批D段, 化学      , XNDXTQDw0301 , 物理学（师范类）                  ,          0,        628,          2205,        630,        631,            0,         12,        630,         2974,        632,        637,            0,          0,        630,         2688,        638,          0,            0,          0,        628,          2205,        630,        631,            0, 国家公费师范生、定向专业、免学费, 国家公费师范生 本研衔接培养, "定向任教地:昆明市、曲靖市、红河州、大理州、丽江市、临沧市"
  5005, 西南大学, 重庆市, 综合类, 211、双一流、师大六姐妹、公办, 教育、科研, 教育部  , XNDXTQDw04 , 专业组04          , 物理组    , 提前本科批D段, 化学      , XNDXTQDw0401 , 化学（师范类）                    ,          0,        631,          1933,        632,        632,            0,          8,        628,         3292,        630,        638,            0,          0,        631,          1933,        632,        632,            0,          0,        631,          1933,        632,        632,            0, 国家公费师范生、定向专业、免学费, 国家公费师范生 本研衔接培养, "定向任教地:昆明市、曲靖市、红河州、丽江市、西双版纳州，不招色弱、色盲考生"
  5005, 西南大学, 重庆市, 综合类, 211、双一流、师大六姐妹、公办, 教育、科研, 教育部  , XNDXTQDw05 , 专业组05          , 物理组    , 提前本科批D段, 思想政治  , XNDXTQDw0501 , 思想政治教育（师范类）            ,          0,        625,          2473,        626,        627,            0,          2,        619,         4901,        623,        626,            0,          0,        617,         4513,        617,          0,            0,          0,        625,          2473,        626,        627,            0, 国家公费师范生、定向专业、免学费, 国家公费师范生 本研衔接培养, "定向任教地:昆明市、曲靖市、红河州、普洱市"
  5005, 西南大学, 重庆市, 综合类, 211、双一流、师大六姐妹、公办, 教育、科研, 教育部  , XNDXTQDw06 , 专业组06          , 物理组    , 提前本科批D段, 化学      , XNDXTQDw0601 , 数学与应用数学（师范类）          ,          0,        633,          1771,        638,        649,            0,         15,        631,         2827,        634,        646,            0,          0,        625,         3345,        634,          0,            0,          0,        633,          1771,        638,        649,            0, 国家公费师范生、定向专业、免学费, 国家公费师范生 本研衔接培养, "定向任教地:昆明市、曲靖市、红河州、普洱市、丽江市"
  5005, 西南大学, 重庆市, 综合类, 211、双一流、师大六姐妹、公办, 教育、科研, 教育部  , XNDXTQDw07 , 专业组07          , 物理组    , 提前本科批D段, 不限      , XNDXTQDw0701 , 心理学（师范类）                  ,          0,        629,          2104,        629,        629,            0,          4,        627,         3460,        630,        632,            0,          0,        617,         4513,        617,          0,            0,          0,        629,          2104,        629,        629,            0, 国家公费师范生、定向专业、免学费, 国家公费师范生 本研衔接培养, "定向任教地:昆明市、曲靖市、丽江市、临沧市，不招色盲考生"
  5005, 西南大学, 重庆市, 综合类, 211、双一流、师大六姐妹、公办, 教育、科研, 教育部  , XNDXTQDw08 , 专业组08          , 物理组    , 提前本科批D段, 地理      , XNDXTQDw0801 , 地理科学（师范类）                ,          0,          0,            0,          0,          0,            0,          3,        624,         3981,        627,        630,            0,          0,        617,         4513,        617,          0,            0,          0,          0,            0,          0,          0,            0, 国家公费师范生、定向专业、免学费, 国家公费师范生 本研衔接培养, "定向任教地:曲靖市、红河州、临沧市、西双版纳州，不招色盲考生"
