院校ID,院校名称,地区,类型,院校标签,行业标签,所属部委,专业组ID,专业组名称,专业组类别,批次,选考科目,专业ID,专业名称,2026计划数,2026最低分,2026最低位次,2026平均分,2026最高分,2026最高位次,2025计划数,2025最低分,2025最低位次,2025平均分,2025最高分,2025最高位次,2024计划数,2024最低分,2024最低位次,2024平均分,2024最高分,2024最高位次,2023计划数,2023最低分,2023最低位次,2023平均分,2023最高分,2023最高位次,专业组标签,专业组备注,专业备注
2124,中国刑事警察学院,辽宁沈阳市,政法类,警校、政法类、本科、公办,警务类,公安部直属,ZGXSZJXYTQBw01,专业组01,物理组,提前本科批B段,化学,ZGXSZJXYTQBw0101,刑事科学技术（公安类）,0,0,0,0,0,0,9,617,0,620,623,0,6,601,0,604,609,0,4,587,0,590,595,0,,只招男生，面向地方公安机关入警就业,（公安类）面向地方公安机关入警就业。须参加省公安厅组织的政治考察、面试，体检，体能测评，具体要求详见《2025年公安院校公安专业在滇招生报考须知》），5200元/年
2124,中国刑事警察学院,辽宁沈阳市,政法类,警校、政法类、本科、公办,警务类,公安部直属,ZGXSZJXYTQBw01,专业组01,物理组,提前本科批B段,化学,ZGXSZJXYTQBw0102,网络安全与执法（公安类）,0,0,0,0,0,0,3,624,0,627,630,0,4,594,0,603,615,0,4,587,0,595,601,0,,只招男生，面向地方公安机关入警就业,（公安类）面向地方公安机关入警就业。须参加省公安厅组织的政治考察、面试，体检，体能测评，具体要求详见《2025年公安院校公安专业在滇招生报考须知》），5200元/年
2124,中国刑事警察学院,辽宁沈阳市,政法类,警校、政法类、本科、公办,警务类,公安部直属,ZGXSZJXYTQBw01,专业组01,物理组,提前本科批B段,化学,ZGXSZJXYTQBw0103,公安视听技术（公安类）,0,0,0,0,0,0,2,616,0,617,618,0,3,595,0,598,599,0,3,561,0,571,581,0,,只招男生，面向地方公安机关入警就业,（公安类）面向地方公安机关入警就业。须参加省公安厅组织的政治考察、面试，体检，体能测评，具体要求详见《2025年公安院校公安专业在滇招生报考须知》），5200元/年
2124,中国刑事警察学院,辽宁沈阳市,政法类,警校、政法类、本科、公办,警务类,公安部直属,ZGXSZJXYTQBw01,专业组01,物理组,提前本科批B段,化学,ZGXSZJXYTQBw0104,数据警务技术（公安类）,0,0,0,0,0,0,2,617,0,617,617,0,1,599,0,599,599,0,0,0,0,0,0,0,,只招男生，面向地方公安机关入警就业,（公安类）面向地方公安机关入警就业。须参加省公安厅组织的政治考察、面试，体检，体能测评，具体要求详见《2025年公安院校公安专业在滇招生报考须知》），5200元/年
2124,中国刑事警察学院,辽宁沈阳市,政法类,警校、政法类、本科、公办,警务类,公安部直属,ZGXSZJXYTQBw01,专业组01,物理组,提前本科批B段,化学,ZGXSZJXYTQBw0105,治安学（公安类）,0,0,0,0,0,0,0,0,0,0,0,0,2,596,0,599,602,0,2,581,0,582,582,0,,只招男生，面向地方公安机关入警就业,（公安类）面向地方公安机关入警就业。须参加省公安厅组织的政治考察、面试，体检，体能测评，具体要求详见《2025年公安院校公安专业在滇招生报考须知》），5200元/年
2124,中国刑事警察学院,辽宁沈阳市,政法类,警校、政法类、本科、公办,警务类,公安部直属,ZGXSZJXYTQBw01,专业组01,物理组,提前本科批B段,化学,ZGXSZJXYTQBw0106,警犬技术（公安类）,0,0,0,0,0,0,0,0,0,0,0,0,4,532,0,537,546,0,7,483,0,527,580,0,,只招男生，面向地方公安机关入警就业,（公安类）面向地方公安机关入警就业。须参加省公安厅组织的政治考察、面试，体检，体能测评，具体要求详见《2025年公安院校公安专业在滇招生报考须知》），5200元/年
2124,中国刑事警察学院,辽宁沈阳市,政法类,警校、政法类、本科、公办,警务类,公安部直属,ZGXSZJXYTQBw01,专业组01,物理组,提前本科批B段,化学,ZGXSZJXYTQBw0107,公安情报学（公安类）,0,0,0,0,0,0,0,0,0,0,0,0,1,523,0,523,523,0,4,501,0,562,584,0,,只招男生，面向地方公安机关入警就业,（公安类）面向地方公安机关入警就业。须参加省公安厅组织的政治考察、面试，体检，体能测评，具体要求详见《2025年公安院校公安专业在滇招生报考须知》），4800元/年
2124,中国刑事警察学院,辽宁沈阳市,政法类,警校、政法类、本科、公办,警务类,公安部直属,ZGXSZJXYTQBw01,专业组01,物理组,提前本科批B段,化学,ZGXSZJXYTQBw0108,禁毒学（公安类）,0,0,0,0,0,0,0,0,0,0,0,0,2,574,0,584,593,0,2,580,0,581,581,0,,只招男生，面向地方公安机关入警就业,（公安类）面向地方公安机关入警就业。须参加省公安厅组织的政治考察、面试，体检，体能测评，具体要求详见《2025年公安院校公安专业在滇招生报考须知》），4800元/年
2124,中国刑事警察学院,辽宁沈阳市,政法类,警校、政法类、本科、公办,警务类,公安部直属,ZGXSZJXYTQBw01,专业组01,物理组,提前本科批B段,化学,ZGXSZJXYTQBw0109,经济犯罪侦查（公安类）,0,0,0,0,0,0,0,0,0,0,0,0,2,566,0,568,569,0,1,590,0,590,590,0,,只招男生，面向地方公安机关入警就业,（公安类）面向地方公安机关入警就业。须参加省公安厅组织的政治考察、面试，体检，体能测评，具体要求详见《2025年公安院校公安专业在滇招生报考须知》），4800元/年
2124,中国刑事警察学院,辽宁沈阳市,政法类,警校、政法类、本科、公办,警务类,公安部直属,ZGXSZJXYTQBw02,专业组02,物理组,提前本科批B段,化学,ZGXSZJXYTQBw0201,刑事科学技术（公安类）,0,0,0,0,0,0,1,630,0,630,630,0,1,594,0,594,594,0,1,618,0,618,618,0,,只招女生，面向地方公安机关入警就业,（公安类）面向地方公安机关入警就业。须参加省公安厅组织的政治考察、面试，体检，体能测评，具体要求详见《2025年公安院校公安专业在滇招生报考须知》），5200元/年
