院校ID, 院校名称    , 地区      , 类型  , 院校标签                    , 行业标签, 所属部委        , 专业组ID      , 专业组名称, 专业组类别, 批次         , 选考科目, 专业ID       , 专业名称                                                      , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最低位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签, 专业组备注, 专业备注
 9113, 联勤保障部队工程大学, 重庆沙坪坝区, 军事类, 军校、公办, 军事, 解放军总后勤部, LQBJGBDTQBw01, 专业组01, 物理组, 提前本科批B段, 不限, LQBJGBDTQB0101, 财务管理（军事财务初级指挥与技术军官）                      ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生   , "只招英语语种,高考成绩须达到特殊类型资格线,体检通用标准合格,免学费"
 9113, 联勤保障部队工程大学, 重庆沙坪坝区, 军事类, 军校、公办, 军事, 解放军总后勤部, LQBJGBDTQBw01, 专业组01, 物理组, 提前本科批B段, 不限, LQBJGBDTQB0102, 审计学（军队审计初级技术军官）                          ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生   , "只招英语语种,高考成绩须达到特殊类型资格线,体检通用标准合格,免学费"
 9113, 联勤保障部队工程大学, 重庆沙坪坝区, 军事类, 军校、公办, 军事, 解放军总后勤部, LQBJGBDTQBw01, 专业组01, 物理组, 提前本科批B段, 不限, LQBJGBDTQB0103, 军需勤务（军需保障初级指挥与技术军官）                      ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生   , "只招英语语种,高考成绩须达到特殊类型资格线,体检通用标准合格,免学费"
 9113, 联勤保障部队工程大学, 重庆沙坪坝区, 军事类, 军校、公办, 军事, 解放军总后勤部, LQBJGBDTQBw01, 专业组01, 物理组, 提前本科批B段, 不限, LQBJGBDTQB0104, 物流管理（军事物流管理初级指挥与技术军官）                    ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生   , "只招英语语种,高考成绩须达到特殊类型资格线,体检通用标准合格,免学费"
 9113, 联勤保障部队工程大学, 重庆沙坪坝区, 军事类, 军校、公办, 军事, 解放军总后勤部, LQBJGBDTQBw02, 专业组02, 物理组, 提前本科批B段, 不限, LQBJGBDTQB0201, 军事运输投送（运输投送指挥调度初级指挥与技术军官）                ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生   , "只招英语语种,高考成绩须达到特殊类型资格线,体检通用标准合格,免学费"
 9113, 联勤保障部队工程大学, 重庆沙坪坝区, 军事类, 军校、公办, 军事, 解放军总后勤部, LQBJGBDTQBw02, 专业组02, 物理组, 提前本科批B段, 不限, LQBJGBDTQB0202, 作战指挥（汽车运输分队初级指挥军官）                          ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生   , "只招英语语种,高考成绩须达到特殊类型资格线,体检通用标准合格,免学费"
 9113, 联勤保障部队工程大学, 重庆沙坪坝区, 军事类, 军校、公办, 军事, 解放军总后勤部, LQBJGBDTQBw02, 专业组02, 物理组, 提前本科批B段, 不限, LQBJGBDTQB0203, 军事运输投送（运输投送指挥调度初级指挥警官）                    ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生   , "只招英语语种,高考成绩须达到特殊类型资格线,体检通用标准合格,免学费"
 9113, 联勤保障部队工程大学, 重庆沙坪坝区, 军事类, 军校、公办, 军事, 解放军总后勤部, LQBJGBDTQBw02, 专业组02, 物理组, 提前本科批B段, 不限, LQBJGBDTQB0204, 无人装备工程（无人运输投送装备保障初级技术军官）                  ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生   , "只招英语语种,高考成绩须达到特殊类型资格线,体检通用标准合格,免学费"
 9113, 联勤保障部队工程大学, 重庆沙坪坝区, 军事类, 军校、公办, 军事, 解放军总后勤部, LQBJGBDTQBw02, 专业组02, 物理组, 提前本科批B段, 不限, LQBJGBDTQB0205, 管理科学（后勤建设管理初级指挥与技术军官）                        ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生   , "只招英语语种,高考成绩须达到特殊类型资格线,体检通用标准合格,免学费"
 9113, 联勤保障部队工程大学, 重庆沙坪坝区, 军事类, 军校、公办, 军事, 解放军总后勤部, LQBJGBDTQBw03, 专业组03, 物理组, 提前本科批B段, 化学, LQBJGBDTQB0301, 车辆工程（汽车运输分队初级指挥军官）                          ,          0,          0,            0,          0,          0,            0,          4,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生   , "只招英语语种,高考成绩须达到特殊类型资格线,体检通用标准合格,免学费"
