院校ID, 院校名称    , 地区      , 类型  , 院校标签                              , 行业标签, 所属部委, 专业组ID  , 专业组名称        , 专业组类别, 批次         , 选考科目, 专业ID      , 专业名称                          , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签            , 专业组备注                , 专业备注
  3106, 上海海事大学  , 上海浦东新区, 理工类, 本科 公办                          , 交通运输、航海, 上海市, SHHSDXTQCw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , SHHSDXTQCw9901 , 航海技术（航海类）              ,          0,          0,            0,          0,          0,            0,         12,        569,        21863,          0,          0,            0,          8,          0,            0,          0,          0,            0,          0,        507,        36030,          0,          0,            0,                       , 航海类专业               , "辨色力正常（无色盲无色弱）,无复视；身高1.60米及以上；双眼裸视力均能达到4.7（0.5）及以上,或双眼裸视力均能达到4.0（0.1）及以上且矫正视力均能达到4.8（0.6）及以上。此专业由于工作性质特殊,不适宜女生报考，学费7000元/年"
  3106, 上海海事大学  , 上海浦东新区, 理工类, 本科 公办                          , 交通运输、航海, 上海市, SHHSDXTQCw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , SHHSDXTQCw9902 , 轮机工程（航海类）              ,          0,          0,            0,          0,          0,            0,         10,        563,        24566,          0,          0,            0,          6,          0,            0,          0,          0,            0,          0,        498,        40765,          0,          0,            0,                       , 航海类专业               , "辨色力正常（无色盲无色弱）,无复视；身高1.55米及以上；双眼裸视力均能达到4.6（0.4）及以上,或双眼裸视力均能达到4.0（0.1）及以上且矫正视力均能达到4.6（0.4）及以上。此专业由于工作性质特殊,不适宜女生报考，学费7000元/年"
  3106, 上海海事大学  , 上海浦东新区, 理工类, 本科 公办                          , 交通运输、航海, 上海市, SHHSDXPBw01, 专业组01          , 物理组    , 本科批B段      , 不限    , SHHSDXPBw0101 , 经济学类                          ,          0,          0,            0,          0,          0,            0,          4,        575,        19141,          0,          0,            0,          4,          0,            0,          0,          0,            0,         16,        528,        26393,          0,          0,            0,                       ,                          , "临港校区；包含专业：经济学（海运与物流经济）、金融学（海运金融），学制四年，学费6500元/年"
  3106, 上海海事大学  , 上海浦东新区, 理工类, 本科 公办                          , 交通运输、航海, 上海市, SHHSDXPBw01, 专业组01          , 物理组    , 本科批B段      , 不限    , SHHSDXPBw0102 , 供应链管理                        ,          0,          0,            0,          0,          0,            0,          2,        580,        16983,          0,          0,            0,          2,        558,        21248,          0,          0,            0,          0,          0,            0,          0,          0,            0,                       ,                          , "临港校区，学制四年，学费6500元/年"
  3106, 上海海事大学  , 上海浦东新区, 理工类, 本科 公办                          , 交通运输、航海, 上海市, SHHSDXPBw01, 专业组01          , 物理组    , 本科批B段      , 不限    , SHHSDXPBw0103 , 财务管理                          ,          0,          0,            0,          0,          0,            0,          2,        576,        18720,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                       ,                          , "临港校区，学制四年，学费6500元/年"
  3106, 上海海事大学  , 上海浦东新区, 理工类, 本科 公办                          , 交通运输、航海, 上海市, SHHSDXPBw01, 专业组01          , 物理组    , 本科批B段      , 不限    , SHHSDXPBw0104 , 交通管理（国航）                  ,          0,          0,            0,          0,          0,            0,          2,        583,        15809,          0,          0,            0,          2,        569,        17095,          0,          0,            0,          2,        545,        19830,          0,          0,            0,                       ,                          , "临港校区，学制四年，学费6500元/年"
  3106, 上海海事大学  , 上海浦东新区, 理工类, 本科 公办                          , 交通运输、航海, 上海市, SHHSDXPBw02, 专业组02          , 物理组    , 本科批B段      , 化学    , SHHSDXPBw0201 , 能源与动力工程                    ,          0,          0,            0,          0,          0,            0,          6,        577,        18291,          0,          0,            0,          6,        559,        20863,          0,          0,            0,          4,        533,        24296,          0,          0,            0,                       ,                          , "临港校区，学制四年，学费7000元/年"
  3106, 上海海事大学  , 上海浦东新区, 理工类, 本科 公办                          , 交通运输、航海, 上海市, SHHSDXPBw02, 专业组02          , 物理组    , 本科批B段      , 化学    , SHHSDXPBw0202 , 电气工程及其自动化                ,          0,          0,            0,          0,          0,            0,          4,        584,        15420,          0,          0,            0,          8,        567,        17838,          0,          0,            0,          2,        548,        18777,          0,          0,            0,                       ,                          , "临港校区，学制四年，学费7000元/年"
  3106, 上海海事大学  , 上海浦东新区, 理工类, 本科 公办                          , 交通运输、航海, 上海市, SHHSDXPBw02, 专业组02          , 物理组    , 本科批B段      , 化学    , SHHSDXPBw0203 , 自动化                            ,          0,          0,            0,          0,          0,            0,          4,        579,        17418,          0,          0,            0,          8,        564,        18967,          0,          0,            0,          3,        539,        22018,          0,          0,            0,                       ,                          , "临港校区，学制四年，学费7000元/年"
  3106, 上海海事大学  , 上海浦东新区, 理工类, 本科 公办                          , 交通运输、航海, 上海市, SHHSDXPBw02, 专业组02          , 物理组    , 本科批B段      , 化学    , SHHSDXPBw0204 , 能源与动力工程                    ,          0,          0,            0,          0,          0,            0,          4,        577,        18291,          0,          0,            0,          6,        559,        20863,          0,          0,            0,          4,        533,        24296,          0,          0,            0,                       ,                          , "临港校区，学制四年，学费7000元/年"
