院校ID, 院校名称        , 地区        , 类型  , 院校标签                         , 行业标签   , 所属部委, 专业组ID        , 专业组名称  , 专业组类别, 批次         , 选考科目, 专业ID            , 专业名称        , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签    , 专业组备注    , 专业备注
  1327, 中南财经政法大学, 湖北省武汉市, 财经类, 211、双一流、五院四系、本科、公办, "警务,财经", 教育部  , ZNCJZFDXTQCw99政, 专业组99政治, 物理组    , 提前本科批C段, 思想政治, ZNCJZFDXTQCw99政01, 公安学类        ,          0,          0,            0,          0,          0,            0,          1,        518,            0,          0,        518,            0,         0,          579,            0,         0,          579,            0,          0,          0,            0,          0,          0,            0,   ,   , "包含专业:治安学、侦查学、侦查学（法庭科学方向）,只招男生,无色盲、色弱,双眼裸眼视力不低于4.7；身高不低于1.68米。4500元/年"
  1327, 中南财经政法大学, 湖北省武汉市, 财经类, 211、双一流、五院四系、本科、公办, "警务,财经", 教育部  , ZNCJZFDXPAw99   , 专业组99    , 物理组    , 本科批A段    , 不限    , ZNCJZFDXPAw9901   , 工商管理类      ,          0,          0,            0,          0,          0,            0,          2,        581,            0,          0,        600,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 高校专项计划  , 高校专项计划  , "包含专业:工商管理、工商管理（商务分析方向）、市场营销、人力资源管理、物流管理、旅游管理、劳动关系,本专业类内专业任选，4500元/年"
  1327, 中南财经政法大学, 湖北省武汉市, 财经类, 211、双一流、五院四系、本科、公办, "警务,财经", 教育部  , ZNCJZFDXPAw99   , 专业组99    , 物理组    , 本科批A段    , 不限    , ZNCJZFDXPAw9902   , 管理科学与工程类,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          1,        538,            0,          0,        538,            0,          0,          0,            0,          0,          0,            0, 高校专项计划  , 高校专项计划  , "大数据方向，校本部；包含专业：信息管理与信息系统、大数据管理与应用（金工双学位），本专业类内专业任选，四年，4500元/年"
  1327, 中南财经政法大学, 湖北省武汉市, 财经类, 211、双一流、五院四系、本科、公办, "警务,财经", 教育部  , ZNCJZFDXPBw01   , 专业组01    , 物理组    , 本科批B段    , 不限    , ZNCJZFDXPBw0101   , 工商管理类      ,          0,          0,            0,          0,          0,            0,          6,        594,            0,          0,        611,            0,          0,        598,            0,         0,        607,            0,          0,        580,            0,          0,        594,            0,   ,   , "校本部；包含专业：工商管理、工商管理（商务分析方向）、市场营销、人力资源管理、物流管理、旅游管理、劳动关系，本专业类内专业任选，四年，4500元/年"
  1327, 中南财经政法大学, 湖北省武汉市, 财经类, 211、双一流、五院四系、本科、公办, "警务,财经", 教育部  , ZNCJZFDXPBw01   , 专业组01    , 物理组    , 本科批B段    , 不限    , ZNCJZFDXPBw0102   , 法学类          ,          0,          0,            0,          0,          0,            0,          6,        612,            0,          0,        626,            0,          0,        619,            0,         0,        625,            0,          0,        586,            0,          0,        621,            0,   ,   , "校本部；包含专业：法学、法学（民商法方向）、法学（涉外法治方向）、法学（政府法治方向）、法学（社会治理方向）、国际法、知识产权、国际经贸规则、法学（刑事司法方向）、纪检监察，本专业类内专业任选，四年，5850元/年"
  1327, 中南财经政法大学, 湖北省武汉市, 财经类, 211、双一流、五院四系、本科、公办, "警务,财经", 教育部  , ZNCJZFDXPBw01   , 专业组01    , 物理组    , 本科批B段    , 不限    , ZNCJZFDXPBw0103   , 新闻传播学类    ,          0,          0,            0,          0,          0,            0,          4,        595,            0,          0,        605,            0,          0,        598,            0,         0,        599,            0,          0,        574,            0,          0,        581,            0,   ,   , "校本部；包含专业：新闻学、网络与新媒体，本专业类内专业任选，四年，4500元/年"
  1327, 中南财经政法大学, 湖北省武汉市, 财经类, 211、双一流、五院四系、本科、公办, "警务,财经", 教育部  , ZNCJZFDXPBw01   , 专业组01    , 物理组    , 本科批B段    , 不限    , ZNCJZFDXPBw0104   , 工程造价        ,          0,          0,            0,          0,          0,            0,          4,        595,            0,          0,        600,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,               ,               , "校本部；投资管控与工程法务优本计划，四年，4500元/年"
  1327, 中南财经政法大学, 湖北省武汉市, 财经类, 211、双一流、五院四系、本科、公办, "警务,财经", 教育部  , ZNCJZFDXPBw01   , 专业组01    , 物理组    , 本科批B段    , 不限    , ZNCJZFDXPBw0105   , 外国语言文学类  ,          0,          0,            0,          0,          0,            0,          3,        594,            0,          0,        602,            0,          0,        600,            0,         0,        601,            0,          0,        582,            0,          0,        584,            0,   ,   , "校本部；包含专业：英语、英语（翻译方向）、商务英语，只招英语语种，本专业类内专业任选，四年，4500元/年"
  1327, 中南财经政法大学, 湖北省武汉市, 财经类, 211、双一流、五院四系、本科、公办, "警务,财经", 教育部  , ZNCJZFDXPBw01   , 专业组01    , 物理组    , 本科批B段    , 不限    , ZNCJZFDXPBw0106   , 会计学          ,          0,          0,            0,          0,          0,            0,          3,        609,            0,          0,        626,            0,          0,        608,            0,         0,        608,            0,          0,        589,            0,          0,        589,            0,   ,   , "校本部；包含会计学、会计学（注册会计师方向）、会计学（ACCA卓越人才实验班）、财务管理，四年，5850元/年"
  1327, 中南财经政法大学, 湖北省武汉市, 财经类, 211、双一流、五院四系、本科、公办, "警务,财经", 教育部  , ZNCJZFDXPBw01   , 专业组01    , 物理组    , 本科批B段    , 不限    , ZNCJZFDXPBw0107   , 经济与贸易类    ,          0,          0,            0,          0,          0,            0,          3,        598,            0,          0,        603,            0,          0,        610,            0,         0,        610,            0,          0,        586,            0,          0,        586,            0,   ,   , "校本部；包含专业：国际经济与贸易、贸易经济（数字贸易方向），本专业类内专业任选，四年，5850元/年"
