院校ID, 院校名称    , 地区      , 类型  , 院校标签                              , 行业标签, 所属部委, 专业组ID  , 专业组名称        , 专业组类别, 批次         , 选考科目, 专业ID      , 专业名称                          , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签            , 专业组备注                , 专业备注
  1116, 北京电子科技学院, 北京丰台区, 理工类, 公办                                , 保密安全, 中央办公厅, BJDKJSXYw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , BJDKJSXY9901, 通信工程（男）                ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0,                       , 只招男生                 , "按一本线进行投档,须面试政审,招男生1名,报考外语语种为英语"
  1116, 北京电子科技学院, 北京丰台区, 理工类, 公办                                , 保密安全, 中央办公厅, BJDKJSXYw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , BJDKJSXY9902, 保密管理（男）                ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0,                       , 只招男生                 , "按一本线进行投档,须面试政审,招男生1名,报考外语语种为英语"
  1116, 北京电子科技学院, 北京丰台区, 理工类, 公办                                , 保密安全, 中央办公厅, BJDKJSXYw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , BJDKJSXY9913, 保密管理（女）                ,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0,                       , 只招女生                 , "按一本线进行投档,须面试政审,招女生1名,报考外语语种为英语"
  1116, 北京电子科技学院, 北京丰台区, 理工类, 公办                                , 保密安全, 中央办公厅, BJDKJSXYw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , BJDKJSXY9903, 密码科学与技术（男）          ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0, 2         ,          0,            0,          0,          0,            0, 2         ,          0,            0,          0,          0,            0,                       , 只招男生                 , "按一本线进行投档,须面试政审,招男生2名,报考外语语种为英语"
  1116, 北京电子科技学院, 北京丰台区, 理工类, 公办                                , 保密安全, 中央办公厅, BJDKJSXYw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , BJDKJSXY9904, 密码科学与技术（女）          ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0, 0         ,          0,            0,          0,          0,            0, 0         ,          0,            0,          0,          0,            0,                       , 只招女生                 , "需面试政审。招女生1名。报考外语语种为英语。只招女生"
  1116, 北京电子科技学院, 北京丰台区, 理工类, 公办                                , 保密安全, 中央办公厅, BJDKJSXYw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , BJDKJSXY9905, 网络空间安全（男）              ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0, 2         ,          0,            0,          0,          0,            0, 2         ,          0,            0,          0,          0,            0,                       , 只招男生                 , "按一本线进行投档,须面试政审,招男生2名,报考外语语种为英语"
  1116, 北京电子科技学院, 北京丰台区, 理工类, 公办                                , 保密安全, 中央办公厅, BJDKJSXYw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , BJDKJSXY9906, 网络空间安全（女）              ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0, 0         ,          0,            0,          0,          0,            0, 0         ,          0,            0,          0,          0,            0,                       , 只招女生                 , "需面试政审。招女生1名。报考外语语种为英语。只招女生"
  1116, 北京电子科技学院, 北京丰台区, 理工类, 公办                                , 保密安全, 中央办公厅, BJDKJSXYw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , BJDKJSXY9907, 信息安全（男）                ,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0,                       , 只招男生                 , "按一本线进行投档,须面试政审,招男生1名,报考外语语种为英语"
  1116, 北京电子科技学院, 北京丰台区, 理工类, 公办                                , 保密安全, 中央办公厅, BJDKJSXYw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , BJDKJSXY9908, 信息安全（女）                ,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0,                       , 只招女生                 , "按一本线进行投档,须面试政审,招女生1名,报考外语语种为英语"
  1116, 北京电子科技学院, 北京丰台区, 理工类, 公办                                , 保密安全, 中央办公厅, BJDKJSXYw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , BJDKJSXY9909, 计算机科学与技术（男）        ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0,                       , 只招男生                 , "按一本线进行投档,须面试政审,招男生1名,报考外语语种为英语"
  1116, 北京电子科技学院, 北京丰台区, 理工类, 公办                                , 保密安全, 中央办公厅, BJDKJSXYw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , BJDKJSXY9910, 计算机科学与技术（女）        ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0,                       , 只招女生                 , "按一本线进行投档,须面试政审,招女生1名,报考外语语种为英语"
  1116, 北京电子科技学院, 北京丰台区, 理工类, 公办                                , 保密安全, 中央办公厅, BJDKJSXYw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , BJDKJSXY9911, 电子信息工程（男）              ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0,                       , 只招男生                 , "按一本线进行投档,须面试政审,招男生1名,报考外语语种为英语"
  1116, 北京电子科技学院, 北京丰台区, 理工类, 公办                                , 保密安全, 中央办公厅, BJDKJSXYw99, 专业组99          , 物理组    , 提前本科批C段, 化学    , BJDKJSXY9912, 电子信息工程（女）              ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0, 1         ,          0,            0,          0,          0,            0,                       , 只招女生                 , "按一本线进行投档,须面试政审,招女生1名,报考外语语种为英语"
