院校ID, 院校名称  , 地区      , 类型  , 院校标签  , 行业标签, 所属部委      , 专业组ID   , 专业组名称, 专业组类别, 批次         , 选考科目, 专业ID       , 专业名称                  , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签  , 专业组备注, 专业备注
  4522, 北部湾大学, 广西钦州市, 综合类, 本科、公办, 综合类  , 广西壮族自治区, BBWDXTQCw99, 专业组99  , 物理组    , 提前本科批C段, 化学    , BBWDXTQCw9901, 航海技术（航海类）        ,          0,          0,            0,          0,          0,            0,          4,        519,        49983,      530.0,        545,            0,          4,        454,        60706,      461.5,        496,            0,          2,        479,        51468,      481.5,        479,            0, 航海类,    航海类      , "航海技术专业要求男生身高1.60米及以上，女生身高1.55米及以上；辨色力正常（无色盲无色弱），无复视；双眼裸视力均能达到4.7（0.5）及以上，或双眼裸视力均能达到4.0（0.1）及以上且矫正视力均能达到4.9（0.8）及以上，四年，4600元/年"
  4522, 北部湾大学, 广西钦州市, 综合类, 本科、公办, 综合类  , 广西壮族自治区, BBWDXTQCw99, 专业组99  , 物理组    , 提前本科批C段, 化学    , BBWDXTQCw9902, 轮机工程（航海类）        ,          0,          0,            0,          0,          0,            0,          4,        514,        53837,      520.3,        525,            0,          4,        450,        66046,      450.8,        450,            0,          2,        468,        57186,      468.0,        468,            0, 航海类,     航海类     , "轮机工程专业要求身高1.55米及以上；无色盲，无复视；双眼裸视力均能达到4.6（0.4）及以上，或双眼裸视力均能达到4.0（0.1）及以上且矫正视力均能达到4.6（0.4）及以上，四年，4600元/年"
  4522, 北部湾大学, 广西钦州市, 综合类, 本科、公办, 综合类  , 广西壮族自治区, BBWDXTQCw99, 专业组99  , 物理组    , 提前本科批C段, 化学    , BBWDXTQCw9903, 船舶电子电气工程（航海类）,          0,          0,            0,          0,          0,            0,          2,        522,        48100,      525.0,        528,            0,          2,        514,        28457,      515.0,        516,            0,          3,        471,        56192,      474.0,        471,            0, 航海类,     航海类     , "船舶电子电气工程专业要求身高1.55米及以上；无色盲，无复视；双眼裸视力均能达到4.6（0.4）及以上，或双眼裸视力均能达到4.0（0.1）及以上且矫正视力均能达到4.6（0.4）及以上，四年，4600元/年"
  4522, 北部湾大学, 广西钦州市, 综合类, 本科、公办, 综合类  , 广西壮族自治区, BBWDXPBw01 , 专业组01  , 物理组    , 本科批B段    , 不限    , BBWDXPBw0101 , 金融工程                  ,          0,          0,            0,          0,          0,            0,          2,        523,        48575,      523.7,        529,            0,          0,          0,            0,          0,          0,            0,          2,        469,        66024,      467.5,        469,            0,            ,          , "校本部，四年，4600元/年"
  4522, 北部湾大学, 广西钦州市, 综合类, 本科、公办, 综合类  , 广西壮族自治区, BBWDXPBw02 , 专业组02  , 物理组    , 本科批B段    , 化学    , BBWDXPBw0201 , 自动化                    ,          0,          0,            0,          0,          0,            0,          2,        538,        38037,      538.5,        539,            0,          2,        493,        48778,      498.5,        504,            0,          0,          0,            0,          0,          0,            0,            ,          , "校本部，四年，4600元/年"
  4522, 北部湾大学, 广西钦州市, 综合类, 本科、公办, 综合类  , 广西壮族自治区, BBWDXPBw02 , 专业组02  , 物理组    , 本科批B段    , 化学    , BBWDXPBw0202 , 海洋科学                  ,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          2,        492,        56145,      492.5,        494,            0,          3,        473,        54883,      478.0,        473,            0,            ,          , "校本部，四年，4600元/年"
  4522, 北部湾大学, 广西钦州市, 综合类, 本科、公办, 综合类  , 广西壮族自治区, BBWDXPBw02 , 专业组02  , 物理组    , 本科批B段    , 化学    , BBWDXPBw0203 , 水产养殖学                ,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          2,        457,        69211,      457.0,        457,            0,            ,          , "校本部，四年，3800元/年"
  4522, 北部湾大学, 广西钦州市, 综合类, 本科、公办, 综合类  , 广西壮族自治区, BBWDXPBw02 , 专业组02  , 物理组    , 本科批B段    , 化学    , BBWDXPBw0204 , 海洋工程与技术            ,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          1,        457,        69667,      457.5,        457,            0,            ,          , "校本部，四年，4600元/年"
  4522, 北部湾大学, 广西钦州市, 综合类, 本科、公办, 综合类  , 广西壮族自治区, BBWDXPBw03 , 专业组03  , 物理组    , 本科批B段    , 化学    , BBWDXPBw0301 , 烹饪与营养教育            ,          0,          0,            0,          0,          0,            0,          2,        491,        76465,      490.5,        496,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,            ,          , "校本部，四年，4600元/年"
  4522, 北部湾大学, 广西钦州市, 综合类, 本科、公办, 综合类  , 广西壮族自治区, BBWDXPBw03 , 专业组03  , 物理组    , 本科批B段    , 化学    , BBWDXPBw0302 , 食品质量与安全            ,          0,          0,            0,          0,          0,            0,          2,        485,        70049,      491.5,        496,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,            ,          , "校本部，四年，4600元/年"
