院校ID,院校名称,地区,类型,院校标签,行业标签,所属部委,专业组ID,专业组名称,专业组类别,批次,选考科目,专业ID,专业名称,2026计划数,2026最低分,2026最低位次,2026平均分,2026最高分,2026最高位次,2025计划数,2025最低分,2025最低位次,2025平均分,2025最高分,2025最高位次,2024计划数,2024最低分,2024最低位次,2024平均分,2024最高分,2024最高位次,2023计划数,2023最低分,2023最低位次,2023平均分,2023最高分,2023最高位次,专业组标签,专业组备注,专业备注
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYTQCw99,专业组99,物理组,提前本科批C段,化学,SDJTXYTQCw9901,船舶电子电气工程（航海类）,0,0,0,0,0,0,2,553,0,557.5,562,0,2,529,0,534.0,539,0,2,489,0,496.0,503,0,航海类,航海类,（威海校区）无色盲无复视；双眼裸视力均能达到4.6（0.4）及以上或双眼裸视力均能达到4.0（0.1）及以上且矫正视力均能达到4.6（0.4）及以上。因专业培养要求，非英语语种考生慎重报考，6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw01,专业组01,物理组,本科批B段,不限,SDJTXYPBw0101,金融科技,0,0,0,0,0,0,4,506,0,507.0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（威海校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw01,专业组01,物理组,本科批B段,不限,SDJTXYPBw0102,工程管理,0,0,0,0,0,0,4,506,0,508.0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw01,专业组01,物理组,本科批B段,不限,SDJTXYPBw0103,大数据管理与应用,0,0,0,0,0,0,2,513,0,517.0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw01,专业组01,物理组,本科批B段,不限,SDJTXYPBw0104,物流工程,0,0,0,0,0,0,2,510,0,511.5,513,0,2,491,0,498.0,505,0,2,470,0,472.0,474,0,,,（长清校区）6600元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0201,船舶与海洋工程,0,0,0,0,0,0,5,518,0,520.5,523,0,5,490,0,499.5,509,0,5,468,0,473.0,478,0,,,（威海校区）6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0202,土木工程,0,0,0,0,0,0,5,518,0,520.0,522,0,5,490,0,495.5,501,0,4,473,0,477.5,482,0,,,（长清校区）6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0203,海洋机器人,0,0,0,0,0,0,4,518,0,520.5,523,0,4,494,0,497.5,501,0,2,471,0,477.5,484,0,,,（威海校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0204,机械电子工程,0,0,0,0,0,0,2,523,0,523.5,524,0,2,492,0,493.5,495,0,2,469,0,472.0,475,0,,,（威海校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0205,交通运输,0,0,0,0,0,0,2,526,0,533.5,541,0,2,515,0,516.5,518,0,2,482,0,485.0,488,0,,,（轨道交通运营与管理方向）（长清校区）无色盲、无色弱，6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0206,轨道交通电气与控制,0,0,0,0,0,0,2,528,0,529.5,531,0,2,499,0,501.0,503,0,2,484,0,487.0,490,0,,,（长清校区）无色盲、无色弱，6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0207,飞行器制造工程,0,0,0,0,0,0,2,533,0,537.0,541,0,2,497,0,500.0,503,0,2,468,0,468.5,469,0,,,（长清校区）无色盲、无色弱，因专业培养要求，非英语语种考生慎重报考，6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0208,无人驾驶航空器系统工程,0,0,0,0,0,0,2,519,0,520.0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0209,计算机科学与技术,0,0,0,0,0,0,2,525,0,525.5,526,0,2,501,0,503.5,506,0,2,484,0,484.5,485,0,,,（长清校区）6600元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0210,机器人工程,0,0,0,0,0,0,2,522,0,522.0,522,0,2,491,0,492.5,494,0,2,469,0,473.5,478,0,,,（长清校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0211,人工智能,0,0,0,0,0,0,2,525,0,525.5,526,0,2,500,0,502.0,504,0,0,0,0,0,0,0,,,（长清校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0212,智慧交通,0,0,0,0,0,0,2,524,0,525.5,527,0,2,494,0,496.0,498,0,2,469,0,471.5,474,0,,,（长清校区）无色盲、无色弱，6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0213,交通工程,0,0,0,0,0,0,2,524,0,526.5,529,0,2,498,0,504.5,511,0,2,480,0,480.5,481,0,,,（长清校区）无色盲、无色弱，6600元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0214,安全工程,0,0,0,0,0,0,2,518,0,519.0,520,0,2,494,0,496.0,498,0,3,475,0,478.5,482,0,,,（长清校区）6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0215,机械工程,0,0,0,0,0,0,2,530,0,538.0,546,0,2,491,0,492.5,494,0,2,468,0,468.5,469,0,,,（长清校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0216,遥感科学与技术,0,0,0,0,0,0,2,520,0,520.5,521,0,2,490,0,491.5,493,0,2,479,0,479.0,479,0,,,（长清校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0217,智能建造与智慧交通,0,0,0,0,0,0,2,524,0,525.5,527,0,2,494,0,496.0,498,0,2,469,0,471.5,474,0,,,（长清校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0218,测绘工程,0,0,0,0,0,0,2,518,0,518.0,518,0,4,494,0,500.0,506,0,4,471,0,475.0,479,0,,,（长清校区）6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0219,材料科学与工程,0,0,0,0,0,0,2,518,0,519.0,520,0,2,491,0,492.0,493,0,4,469,0,470.5,472,0,,,（长清校区）6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0220,能源与动力工程,0,0,0,0,0,0,2,539,0,539.5,540,0,2,497,0,500.5,504,0,2,472,0,473.0,474,0,,,（长清校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0221,交通运输,0,0,0,0,0,0,2,526,0,533.5,541,0,2,515,0,516.5,518,0,2,482,0,485.0,488,0,,,（长清校区）6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0222,车辆工程,0,0,0,0,0,0,2,522,0,523.0,524,0,2,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）6600元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0223,机械类（车辆）,0,0,0,0,0,0,0,0,0,0,0,0,2,492,0,492.5,493,0,2,471,0,472.5,474,0,,,（含车辆工程、汽车服务工程）（长清校区）6600元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0224,城市地下空间工程,0,0,0,0,0,0,0,0,0,0,0,0,2,503,0,506.5,510,0,2,475,0,477.5,480,0,,,（长清校区）6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0225,港口航道与海岸工程,0,0,0,0,0,0,0,0,0,0,0,0,2,505,0,508.0,511,0,0,0,0,0,0,0,,,（长清校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0232,机械设计制造及其自动化,0,0,0,0,0,0,0,0,0,0,0,0,2,495,0,496.5,498,0,2,477,0,482.5,488,0,,,（长清校区）6600元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYPBw02,专业组02,物理组,本科批B段,化学,SDJTXYPBw0226,测控技术与仪器,0,0,0,0,0,0,0,0,0,0,0,0,2,490,0,491.5,493,0,2,473,0,475.0,477,0,,,（长清校区）5500元/年
