院校ID, 院校名称    , 地区      , 类型  , 院校标签  , 行业标签, 所属部委, 专业组ID    , 专业组名称, 专业组类别, 批次         , 选考科目  , 专业ID        , 专业名称            , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签    , 专业组备注    , 专业备注
  5302, 昆明理工大学, 云南昆明市, 理工类, 本科、公办, 理工类  , 云南省  , KMLGDXTQCw99, 专业组99  , 物理组    , 提前本科批C段, 化学      , KMLGDXTQCw9901, 飞行技术            ,          0,          0,            0,          0,          0,            0,         12,        550,        31275,          0,        606,         8153,          0,          0,            0,          0,          0,            0,          5,          0,            0,          0,          0,            0, 定向          ,               , "春秋航空股份有限公司委托培养助飞贷；英语不低于90分，报考该专业须提前经过民航专业机构的招飞体检鉴定、民用航空背景调查、飞行职业心理学检测合格，四年，4500元/年"
  5302, 昆明理工大学, 云南昆明市, 理工类, 本科、公办, 理工类  , 云南省  , KMLGDXTQCw99, 专业组99  , 物理组    , 提前本科批C段, 化学      , KMLGDXTQCw9902, 飞行技术            ,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          8,        500,        50530,          0,          0,            0,         18,          0,            0,          0,          0,            0, 定向          ,               , "东方航空股份有限公司委托培养；英语不低于90分，报考该专业须提前经过民航专业机构的招飞体检鉴定、民用航空背景调查、飞行职业心理学检测合格，四年，4500元/年"
  5302, 昆明理工大学, 云南昆明市, 理工类, 本科、公办, 理工类  , 云南省  , KMLGDXTQCw99, 专业组99  , 物理组    , 提前本科批C段, 化学      , KMLGDXTQCw9903, 飞行技术            ,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          5,          0,            0,          0,          0,            0, 定向          ,               , "东方时尚通用航空股份有限公司委托培养；英语不低于90分，报考该专业须提前经过民航专业机构的招飞体检鉴定、民用航空背景调查、飞行职业心理学检测合格，四年，4500元/年"
  5302, 昆明理工大学, 云南昆明市, 理工类, 本科、公办, 理工类  , 云南省  , KMLGDXTQCw99, 专业组99  , 物理组    , 提前本科批C段, 化学      , KMLGDXTQCw9904, 飞行技术            ,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          8,        500,        50530,          0,          0,            0,         15,          0,            0,          0,          0,            0, 定向          ,               , "多彩贵州航空有限公司委托培养；英语不低于90分，报考该专业须提前经过民航专业机构的招飞体检鉴定、民用航空背景调查、飞行职业心理学检测合格，四年，4500元/年"
  5302, 昆明理工大学, 云南昆明市, 理工类, 本科、公办, 理工类  , 云南省  , KMLGDXPBw01 , 专业组01  , 物理组    , 本科批B段    , 不限      , KMLGDXPBw0101 , 英语                ,          0,          0,            0,          0,          0,            0,         29,        545,        34052,          0,        576,        18720,         34,        537,        30430,          0,          0,            0,         28,        520,        30003,          0,          0,            0,               ,               , "呈贡校区，四年，4200元/年"
  5302, 昆明理工大学, 云南昆明市, 理工类, 本科、公办, 理工类  , 云南省  , KMLGDXPBw01 , 专业组01  , 物理组    , 本科批B段    , 不限      , KMLGDXPBw0102 , 工商管理            ,          0,          0,            0,          0,          0,            0,         28,        545,        34052,          0,        564,        24086,         23,        539,        29517,          0,          0,            0,         25,        521,        29594,          0,          0,            0,               ,               , "呈贡校区，四年，4500元/年"
  5302, 昆明理工大学, 云南昆明市, 理工类, 本科、公办, 理工类  , 云南省  , KMLGDXPBw01 , 专业组01  , 物理组    , 本科批B段    , 不限      , KMLGDXPBw0103 , 信息管理与信息系统  ,          0,          0,            0,          0,          0,            0,         25,        551,        30718,          0,        577,        18291,         25,        560,        20476,          0,          0,            0,         28,        537,        22774,          0,          0,            0,               ,               , "呈贡校区，四年，4500元/年"
  5302, 昆明理工大学, 云南昆明市, 理工类, 本科、公办, 理工类  , 云南省  , KMLGDXPBw01 , 专业组01  , 物理组    , 本科批B段    , 不限      , KMLGDXPBw0104 , 土地资源管理        ,          0,          0,            0,          0,          0,            0,         25,        545,        34052,          0,        563,        24566,         25,        537,        30430,          0,          0,            0,         28,        510,        34587,          0,          0,            0,               ,               , "莲华校区，四年，5000元/年"
  5302, 昆明理工大学, 云南昆明市, 理工类, 本科、公办, 理工类  , 云南省  , KMLGDXPBw01 , 专业组01  , 物理组    , 本科批B段    , 不限      , KMLGDXPBw0105 , 质量管理工程        ,          0,          0,            0,          0,          0,            0,         24,        545,        34052,          0,        559,        26501,         25,        537,        30430,          0,          0,            0,         24,        511,        34104,          0,          0,            0,               ,               , "呈贡校区，四年，4500元/年"
  5302, 昆明理工大学, 云南昆明市, 理工类, 本科、公办, 理工类  , 云南省  , KMLGDXPBw01 , 专业组01  , 物理组    , 本科批B段    , 不限      , KMLGDXPBw0106 , 法学                ,          0,          0,            0,          0,          0,            0,         22,        564,        24086,          0,        594,        11835,         22,        567,        17838,          0,          0,            0,         19,        548,        18777,          0,          0,            0,               ,               , "呈贡校区，四年，4500元/年"
