院校ID, 院校名称    , 地区        , 类型  , 院校标签       , 行业标签, 所属部委, 专业组ID        , 专业组名称, 专业组类别, 批次         , 选考科目, 专业ID          , 专业名称                  , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签, 专业组备注, 专业备注
  3343, 浙江海洋大学, 浙江省舟山市, 农林类, 七所海大、本科、公办, 航海    , 浙江省  ,ZJHYDXTQCw99     , 专业组99  , 物理组    , 提前本科批C段, 化学    ,ZJHYDXTQCw9901   , 航海技术（航海类）        ,          0,          0,            0,          0,          0,            0,         3,       532,            0,     534.7,       539,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           ,男女身高在160cm（含）以上，辨色完全正常，双眼裸视力4.7及以上或双眼裸视力4.0及以上且矫正视力4.8及以上，无口吃、四肢无残缺、听力正常；第一学年在定海校区，第二学年起在新城校区就读；不适宜女生报考，四年，5500元/年
  3343, 浙江海洋大学, 浙江省舟山市, 农林类, 七所海大、本科、公办, 航海    , 浙江省  ,ZJHYDXTQCw99     , 专业组99  , 物理组    , 提前本科批C段, 化学    ,ZJHYDXTQCw9902   , 轮机工程（航海类）（轮机管理方向）,          0,          0,            0,          0,          0,            0,         3,       523,            0,     528.0,       531,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           ,男女身高在155cm（含）以上，无红绿色盲，双眼裸视力4.6及以上或双眼裸视力4.0及以上且矫正视力4.6及以上，无口吃、四肢无残缺、听力正常；第一学年在定海校区，第二学年起在新城校区就读；不适宜女生报考，四年，6300元/年
  3343, 浙江海洋大学, 浙江省舟山市, 农林类, 七所海大、本科、公办, 航海    , 浙江省  ,ZJHYDXPBw01      , 专业组01  , 物理组    , 本科批B段    , 不限    ,ZJHYDXPBw0101    , 数字经济                  ,          0,          0,            0,          0,          0,            0,         4,       536,            0,     545.0,       564,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           ,定海校区，四年，4800元/年
  3343, 浙江海洋大学, 浙江省舟山市, 农林类, 七所海大、本科、公办, 航海    , 浙江省  ,ZJHYDXPBw02      , 专业组02  , 物理组    , 本科批B段    , 化学    ,ZJHYDXPBw0201    , 海洋科学                  ,          0,          0,            0,          0,          0,            0,         6,       534,            0,     536.0,       539,            0,          3,        509,            0,      509.6,        510,            0,          0,          0,            0,          0,          0,            0,           ,           ,第一学年在定海校区，第二学年起在新城校区就读，四年，5500元/年
  3343, 浙江海洋大学, 浙江省舟山市, 农林类, 七所海大、本科、公办, 航海    , 浙江省  ,ZJHYDXPBw02      , 专业组02  , 物理组    , 本科批B段    , 化学    ,ZJHYDXPBw0202    , 土木工程                  ,          0,          0,            0,          0,          0,            0,         5,       532,            0,     535.8,       543,            0,          4,        503,            0,      507.5,        511,            0,         2,       489,            0,     490.5,       492,            0,           ,           ,第一学年在定海校区，第二学年起在新城校区就读，四年，5500元/年
  3343, 浙江海洋大学, 浙江省舟山市, 农林类, 七所海大、本科、公办, 航海    , 浙江省  ,ZJHYDXPBw02      , 专业组02  , 物理组    , 本科批B段    , 化学    ,ZJHYDXPBw0203    , 机械设计制造及其自动化    ,          0,          0,            0,          0,          0,            0,         5,       538,            0,     541.6,       544,            0,          4,        514,            0,      516.2,        518,            0,         4,       491,            0,     492.8,       495,            0,           ,           ,四年，5500元/年
  3343, 浙江海洋大学, 浙江省舟山市, 农林类, 七所海大、本科、公办, 航海    , 浙江省  ,ZJHYDXPBw02      , 专业组02  , 物理组    , 本科批B段    , 化学    ,ZJHYDXPBw0204    , 药学                      ,          0,          0,            0,          0,          0,            0,         5,       532,            0,     533.2,       534,            0,          5,        503,            0,      507.9,        512,            0,         4,       486,            0,     488.5,       494,            0,           ,           ,不招色盲考生，四年，5500元/年
  3343, 浙江海洋大学, 浙江省舟山市, 农林类, 七所海大、本科、公办, 航海    , 浙江省  ,ZJHYDXPBw02      , 专业组02  , 物理组    , 本科批B段    , 化学    ,ZJHYDXPBw0205    , 食品科学与工程            ,          0,          0,            0,          0,          0,            0,         5,       533,            0,     533.6,       534,            0,          5,        485,            0,      499.4,        507,            0,         4,       487,            0,     489.0,       492,            0,           ,           ,不招色盲、色弱考生，第一学年在定海校区，第二学年起在新城校区就读，四年，6300元/年
  3343, 浙江海洋大学, 浙江省舟山市, 农林类, 七所海大、本科、公办, 航海    , 浙江省  ,ZJHYDXPBw02      , 专业组02  , 物理组    , 本科批B段    , 化学    ,ZJHYDXPBw0206    , 海洋资源与环境            ,          0,          0,            0,          0,          0,            0,         5,       533,            0,     534.8,       538,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           ,第一学年在定海校区，第二学年起在新城校区就读，四年，4800元/年
  3343, 浙江海洋大学, 浙江省舟山市, 农林类, 七所海大、本科、公办, 航海    , 浙江省  ,ZJHYDXPBw02      , 专业组02  , 物理组    , 本科批B段    , 化学    ,ZJHYDXPBw0207    , 环境科学与工程            ,          0,          0,            0,          0,          0,            0,         4,       533,            0,     534.0,       535,            0,          4,        503,            0,      506.6,        509,            0,         4,       477,            0,     484.3,       488,            0,           ,           ,第一学年在定海校区，第二学年起在新城校区就读，四年，5500元/年
