院校ID, 院校名称  , 地区      , 类型  , 院校标签            , 行业标签, 所属部委, 专业组ID      , 专业组名称, 专业组类别, 批次         , 选考科目, 专业ID          , 专业名称                  , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签  , 专业组备注, 专业备注
  4614, 海南热带海洋学院, 海南三亚市, 综合类, 七所海大、本科、公办, 综合类  , 海南省  , HNRDHYXYTQCw99, 专业组99  , 物理组    , 提前本科批C段, 化学    , HNRDHYXYTQCw9901, 船舶电子电气工程（航海类）,          0,          0,            0,          0,          0,            0,          4,        506,        58868,      518.25,        550,            0,          2,        491,        56145,         492,        493,            0,          2,        454,        67272,         456,        458,            0, 航海类    , 航海类      , "航海类；按二本线进行投档；无红绿色盲，无复视，身高155cm及以上，双眼裸视力均能达到4.6（0.4）及以上；或双眼裸视力均能达到4.0（0.1）及以上，且矫正视力均能达到4.6（0.4）及以上，三亚校区，四年，4620元/年"
  4614, 海南热带海洋学院, 海南三亚市, 综合类, 七所海大、本科、公办, 综合类  , 海南省  , HNRDHYXYPBw01 , 专业组01  , 物理组    , 本科批B段    , 不限    , HNRDHYXYPBw0101 , 应用心理学                ,          0,          0,            0,          0,          0,            0,          5,        495,        66730,       495.4,        497,            0,          2,        474,        67415,       474.5,        475,            0,          2,        454,        67272,       456.5,        459,            0,            ,          , "三亚校区；不招色盲、色弱，四年，4620元/年"
  4614, 海南热带海洋学院, 海南三亚市, 综合类, 七所海大、本科、公办, 综合类  , 海南省  , HNRDHYXYPBw02 , 专业组02  , 物理组    , 本科批B段    , 化学    , HNRDHYXYPBw0201 , 食品科学与工程            ,          0,          0,            0,          0,          0,            0,          5,        481,        77016,       489.8,        494,            0,          3,        472,        68767,      478.67,        489,            0,          3,        456,        78258,         461,        470,            0,            ,          , "三亚校区；不招色盲、色弱，四年，4620元/年"
  4614, 海南热带海洋学院, 海南三亚市, 综合类, 七所海大、本科、公办, 综合类  , 海南省  , HNRDHYXYPBw02 , 专业组02  , 物理组    , 本科批B段    , 化学    , HNRDHYXYPBw0202 , 通信工程                  ,          0,          0,            0,          0,          0,            0,          5,        499,        63813,         507,        519,            0,          2,        488,        58105,       495.5,        503,            0,          2,        461,        76197,       466.5,        472,            0,            ,          , "三亚校区，四年，4620元/年"
  4614, 海南热带海洋学院, 海南三亚市, 综合类, 七所海大、本科、公办, 综合类  , 海南省  , HNRDHYXYPBw02 , 专业组02  , 物理组    , 本科批B段    , 化学    , HNRDHYXYPBw0203 , 生物技术                  ,          0,          0,            0,          0,          0,            0,          4,        481,        77016,       484.5,        492,            0,          2,        458,        78527,       463.5,        469,            0,          2,        457,        77520,       460.5,        464,            0,            ,          , "三亚校区；不招色盲、色弱，四年，4620元/年"
  4614, 海南热带海洋学院, 海南三亚市, 综合类, 七所海大、本科、公办, 综合类  , 海南省  , HNRDHYXYPBw02 , 专业组02  , 物理组    , 本科批B段    , 化学    , HNRDHYXYPBw0204 , 生物科学                  ,          0,          0,            0,          0,          0,            0,          4,        487,        72622,       490.5,        493,            0,          2,        476,        66063,         476,        476,            0,          2,        460,        76906,         462,        464,            0,            ,          , "三亚校区；不招色盲、色弱，四年，4620元/年"
  4614, 海南热带海洋学院, 海南三亚市, 综合类, 七所海大、本科、公办, 综合类  , 海南省  , HNRDHYXYPBw02 , 专业组02  , 物理组    , 本科批B段    , 化学    , HNRDHYXYPBw0205 , 水产养殖学                ,          0,          0,            0,          0,          0,            0,          3,        480,        77767,      482.67,        488,            0,          2,        476,        66063,       478.5,        481,            0,          2,        457,        77520,       461.5,        466,            0,            ,          , "三亚校区；不招色盲、色弱，四年，4180元/年"
  4614, 海南热带海洋学院, 海南三亚市, 综合类, 七所海大、本科、公办, 综合类  , 海南省  , HNRDHYXYPBw02 , 专业组02  , 物理组    , 本科批B段    , 化学    , HNRDHYXYPBw0206 , 食品质量与安全            ,          0,          0,            0,          0,          0,            0,          3,        482,        76268,      485.67,        490,            0,          2,        476,        66063,         476,        476,            0,          2,        457,        77520,         457,        457,            0,            ,          , "三亚校区，四年，4620元/年"
  4614, 海南热带海洋学院, 海南三亚市, 综合类, 七所海大、本科、公办, 综合类  , 海南省  , HNRDHYXYPBw02 , 专业组02  , 物理组    , 本科批B段    , 化学    , HNRDHYXYPBw0207 , 环境工程                  ,          0,          0,            0,          0,          0,            0,          3,        481,        77016,      486.67,        494,            0,          2,        467,        72259,       468.5,        470,            0,          2,        457,        77520,         458,        459,            0,            ,          , "三亚校区；不招色盲、色弱，四年，4620元/年"
  4614, 海南热带海洋学院, 海南三亚市, 综合类, 七所海大、本科、公办, 综合类  , 海南省  , HNRDHYXYPBw02 , 专业组02  , 物理组    , 本科批B段    , 化学    , HNRDHYXYPBw0208 , 网络工程                  ,          0,          0,            0,          0,          0,            0,          3,        483,        75535,      494.67,        507,            0,          2,        485,        60046,       485.5,        486,            0,          2,        460,        76906,       460.5,        461,            0,            ,          , "三亚校区，四年，4620元/年"
  4614, 海南热带海洋学院, 海南三亚市, 综合类, 七所海大、本科、公办, 综合类  , 海南省  , HNRDHYXYPBw02 , 专业组02  , 物理组    , 本科批B段    , 化学    , HNRDHYXYPBw0209 , 软件工程                  ,          0,          0,            0,          0,          0,            0,          3,        498,        64525,      502.33,        505,            0,          2,        487,        58735,       491.5,        496,            0,          2,        469,        75478,         473,        477,            0,            ,          , "三亚校区，四年，4620元/年"
