院校ID, 院校名称    , 地区      , 类型  , 院校标签  , 行业标签, 所属部委    , 专业组ID , 专业组名称              , 专业组类别, 批次         , 选考科目, 专业ID     , 专业名称                  , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签            , 专业组备注            , 专业备注
 1327,西南政法大学,重庆渝北区,政法类,警校、五院四系、本科、公办,,重庆市,XNZFDXTQCw99,思想政治专业组99,物理组,提前本科批C段,思想政治,XNZFDXTQCw9901,侦查学（公安类）,          0,          0,            0,          0,          0,            0,          2,        557,            0,          0,        573,            0,          3,        566,            0,          0,        575,            0,          0,        545,            0,          0,        575,            0,                      ,,公安（武警）类只招男生，要求双眼裸眼视力4.7及以上，其他录取条件参照教育部、司法部、教司[2003]16号文件及我校招生简章
 1327,西南政法大学,重庆渝北区,政法类,警校、五院四系、本科、公办,,重庆市,XNZFDXPAw99,专业组99                ,物理组    ,本科批A段    ,不限    ,XNZFDXPAw9901,法学（高校专项计划）,          0,          0,            0,          0,          0,            0,          1,        611,            0,          0,        611,            0,          0,        583,            0,          0,        583,            0,          0,        590,            0,          0,        590,            0,高校专项计划        ,高校专项计划        ,选科要求：首选物理，再选不限
 1327,西南政法大学,重庆渝北区,政法类,警校、五院四系、本科、公办,,重庆市,XNZFDXPAw99,专业组99                ,物理组    ,本科批A段    ,不限    ,XNZFDXPAw9902,行政管理（高校专项计划）,          0,          0,            0,          0,          0,            0,          1,        608,            0,          0,        608,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,高校专项计划        ,高校专项计划        ,选科要求：首选物理，再选不限
 1327,西南政法大学,重庆渝北区,政法类,警校、五院四系、本科、公办,,重庆市,XNZFDXPBw01,专业组01                ,物理组    ,本科批B段    ,不限    ,XNZFDXPBw0101,法学（两江校区）,          0,          0,            0,          0,          0,            0,          17,        613,            0,          0,        624,            0,          17,        607,            0,          0,        633,            0,          17,        591,            0,          0,        627,            0,                      ,,选科要求：首选物理，再选不限；两江校区，四年
 1327,西南政法大学,重庆渝北区,政法类,警校、五院四系、本科、公办,,重庆市,XNZFDXPBw01,专业组01                ,物理组    ,本科批B段    ,不限    ,XNZFDXPBw0102,工商管理类,          0,          0,            0,          0,          0,            0,          6,        606,            0,          0,        613,            0,          6,        600,            0,          0,        605,            0,          6,        577,            0,          0,        615,            0,                      ,,选科要求：首选物理，再选不限；包含专业：会计学、审计学、工商管理、劳动关系、电子商务及法律；两江校区，四年
 1327,西南政法大学,重庆渝北区,政法类,警校、五院四系、本科、公办,,重庆市,XNZFDXPBw01,专业组01                ,物理组    ,本科批B段    ,不限    ,XNZFDXPBw0103,司法鉴定学,          0,          0,            0,          0,          0,            0,          3,        611,            0,          0,        612,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                      ,,选科要求：首选物理，再选不限；两江校区，四年
 1327,西南政法大学,重庆渝北区,政法类,警校、五院四系、本科、公办,,重庆市,XNZFDXPBw01,专业组01                ,物理组    ,本科批B段    ,不限    ,XNZFDXPBw0104,法学（联合学士学位）,          0,          0,            0,          0,          0,            0,          2,        621,            0,          0,        622,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                      ,,选科要求：首选物理，再选不限；两江校区（法学+网络空间安全）联合学士学位人才培养项，四年
 1327,西南政法大学,重庆渝北区,政法类,警校、五院四系、本科、公办,,重庆市,XNZFDXPBw01,专业组01                ,物理组    ,本科批B段    ,不限    ,XNZFDXPBw0105,法学（涉外法治拔尖班）,          0,          0,            0,          0,          0,            0,          2,        621,            0,          0,        630,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                      ,,选科要求：首选物理，再选不限；两江校区（法学涉外法治拔尖班）在我校民商法学院进行管理，四年
 1327,西南政法大学,重庆渝北区,政法类,警校、五院四系、本科、公办,,重庆市,XNZFDXPBw01,专业组01                ,物理组    ,本科批B段    ,不限    ,XNZFDXPBw0106,法学（科技法学拔尖班）,          0,          0,            0,          0,          0,            0,          2,        624,            0,          0,        631,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                      ,,选科要求：首选物理，再选不限；两江校区（法学科技法学拔尖班）在我校人工智能法学院进行管理，四年
 1327,西南政法大学,重庆渝北区,政法类,警校、五院四系、本科、公办,,重庆市,XNZFDXPBw01,专业组01                ,物理组    ,本科批B段    ,不限    ,XNZFDXPBw0107,知识产权,          0,          0,            0,          0,          0,            0,          2,        609,            0,          0,        612,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                      ,,选科要求：首选物理，再选不限；两江校区，四年
