院校ID, 院校名称  , 地区        , 类型  , 院校标签   , 行业标签   , 所属部委, 专业组ID      , 专业组名称, 专业组类别, 批次         , 选考科目, 专业ID          , 专业名称        , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签    , 专业组备注    , 专业备注
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXTQCw99    , 专业组99  , 物理组    , 提前本科批C段, 化学    , JMDXTQCw9901 , 航海技术（航海类）,          0,          0,            0,          0,          0,            0,         20,        540,        36922,      552.15,        570,        30166,         17,        506,        47041,      518.12,        549,        40177,        17*,          0,            0,          0,          0,            0, 航海类专业组  ,               , "不适合女生报考。双眼裸视力4.7（0.5）及以上，或双眼裸视力4.0（0.1）及以上且矫正视力均能达4.8（0.6）及以上，无色盲色弱；身高160cm及以上，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXTQCw99    , 专业组99  , 物理组    , 提前本科批C段, 化学    , JMDXTQCw9902 , 轮机工程（航海类）,          0,          0,            0,          0,          0,            0,         10,        541,        36341,        551.7,        567,        30718,         12,        507,        46486,      520.58,        555,        39054,        12*,          0,            0,          0,          0,            0, 航海类专业组  ,               , "不适合女生报考。双眼裸视力4.6（0.4）及以上，或双眼裸视力4.0（0.1）及以上且矫正视力均能达4.6（0.4）及以上；无色盲；身高155cm及以上，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXTQCw99    , 专业组99  , 物理组    , 提前本科批C段, 化学    , JMDXTQCw9903 , 船舶电子电气工程（航海类）,          0,          0,            0,          0,          0,            0,          5,        539,        37443,        554.2,        564,        29087,          6,        520,        39054,      522.83,        527,        38020,        6*,          0,            0,          0,          0,            0, 航海类专业组  ,               , "不适合女生报考。双眼裸视力4.6（0.4）及以上，或双眼裸视力4.0（0.1）及以上且矫正视力均能达4.6（0.4）及以上；无色盲；身高155cm及以上，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw01     , 专业组01  , 物理组    , 本科批B段    , 不限    , JMDXPBw0101   , 电子商务        ,          0,          0,            0,          0,          0,            0,          2,        540,        36922,       541.5,        543,        36341,          2,        517,        40780,        517.5,        518,        40780,        2*,      498*,      40765*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw01     , 专业组01  , 物理组    , 本科批B段    , 不限    , JMDXPBw0102   , 工商管理        ,          0,          0,            0,          0,          0,            0,          2,        544,        34605,       552.5,        561,        30166,          2,        520,        39054,        521,        522,        38526,        2*,      495*,      42402*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw02     , 专业组02  , 物理组    , 本科批B段    , 化学    , JMDXPBw0201   , 应用物理学      ,          0,          0,            0,          0,          0,            0,          2,        560,        26012,       560.5,        561,        26012,          2,        523,        37518,        524,        525,        36994,        2*,      501*,      39166*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw02     , 专业组02  , 物理组    , 本科批B段    , 化学    , JMDXPBw0202   , 数学与应用数学  ,          0,          0,            0,          0,          0,            0,          2,        559,        26501,       559.5,        560,        26501,          2,        520,        39054,        527,        534,        35436,        2*,      508*,      35528*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw02     , 专业组02  , 物理组    , 本科批B段    , 化学    , JMDXPBw0203   , 网络空间安全    ,          0,          0,            0,          0,          0,            0,          2,        560,        26012,        563,        566,        24566,          2,        539,        29517,        540,        541,        29025,        2*,      502*,      38632*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw02     , 专业组02  , 物理组    , 本科批B段    , 化学    , JMDXPBw0204   , 电子信息工程    ,          0,          0,            0,          0,          0,            0,          2,        563,        24566,        564,        565,        24086,          2,        538,        29950,        540,        542,        29025,        2*,      505*,      37098*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw03     , 专业组03  , 物理组    , 本科批B段    , 化学    , JMDXPBw0301   , 船舶与海洋工程  ,          0,          0,            0,          0,          0,            0,          5,        557,        27488,       559.2,        562,        26501,          7,        536,        30906,      545.14,        560,        26759,        6*,      521*,      29594*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw03     , 专业组03  , 物理组    , 本科批B段    , 化学    , JMDXPBw0302   , 机械设计制造及其自动化,          0,          0,            0,          0,          0,            0,          3,        559,        26501,      560.67,        562,        26501,          3,        525,        36476,      528.33,        531,        34935,        3*,      499*,      40268*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw03     , 专业组03  , 物理组    , 本科批B段    , 化学    , JMDXPBw0303   , 港口航道与海岸工程,          0,          0,            0,          0,          0,            0,          2,        558,        26994,        558,        558,        26994,          2,        520,        39054,        520.5,        521,        39054,        2*,      502*,      38632*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw03     , 专业组03  , 物理组    , 本科批B段    , 化学    , JMDXPBw0304   , 能源与动力工程  ,          0,          0,            0,          0,          0,            0,          2,        559,        26501,        559,        559,        26501,          3,        520,        39054,      522.33,        527,        38020,        2*,      504*,      37615*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw03     , 专业组03  , 物理组    , 本科批B段    , 化学    , JMDXPBw0305   , 交通运输        ,          0,          0,            0,          0,          0,            0,          2,        556,        28007,        557,        558,        27488,          2,        520,        39054,        521.5,        523,        38526,        2*,      495*,      42402*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw04     , 专业组04  , 物理组    , 本科批B段    , 化学    , JMDXPBw0401   , 环境工程        ,          0,          0,            0,          0,          0,            0,          3,        541,        36341,      543.33,        548,        35181,          3,        517,        40780,      522.33,        531,        38020,        3*,      493*,      43506*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw04     , 专业组04  , 物理组    , 本科批B段    , 化学    , JMDXPBw0402   , 食品科学与工程  ,          0,          0,            0,          0,          0,            0,          3,        545,        34052,        555,        562,        28548,          3,        518,        40177,      519.67,        523,        39624,        2*,      492*,      44074*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw04     , 专业组04  , 物理组    , 本科批B段    , 化学    , JMDXPBw0403   , 生物工程        ,          0,          0,            0,          0,          0,            0,          2,        543,        35181,        543,        543,        35181,          2,        519,        39624,        520.5,        522,        39054,        2*,      499*,      40268*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw05     , 专业组05  , 物理组    , 本科批B段    , 化学、生物, JMDXPBw0501   , 水产养殖学      ,          0,          0,            0,          0,          0,            0,          7,        533,        41041,      539.86,        551,        37443,          7,        522,        38020,        526,        535,        35957,        6*,      508*,      35528*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw05     , 专业组05  , 物理组    , 本科批B段    , 化学、生物, JMDXPBw0502   , 水生动物医学    ,          0,          0,            0,          0,          0,            0,          3,        532,        41680,      534.67,        536,        40403,          3,        516,        41326,        518,        520,        40177,        2*,      491*,      44610*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw05     , 专业组05  , 物理组    , 本科批B段    , 化学、生物, JMDXPBw0503   , 海洋渔业科学与技术,          0,          0,            0,          0,          0,            0,          3,        531,        42262,      533.67,        538,        41041,          3,        518,        40177,      518.33,        519,        40177,        3*,      467*,      58739*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw05     , 专业组05  , 物理组    , 本科批B段    , 化学、生物, JMDXPBw0504   , 动物科学        ,          0,          0,            0,          0,          0,            0,          3,        537,        38653,      538.67,        541,        38037,          3,        513,        42974,      519.33,        527,        39624,        3*,      492*,      44074*,          0,          0,            0,               ,               , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw06     , 专业组06  , 物理组    , 本科批B段    , 不限    , JMDXPBw0601   , 电子商务        ,          0,          0,            0,          0,          0,            0,          2,        539,        37443,        545,        551,        34052,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 国家专项计划    , 国家专项计划    , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw07     , 专业组07  , 物理组    , 本科批B段    , 化学    , JMDXPBw0701   , 机械设计制造及其自动化,          0,          0,            0,          0,          0,            0,          2,        573,        20029,        574,        575,        19583,          2,        547,        25917,        549,        551,        25022,          0,          0,            0,          0,          0,            0, 国家专项计划    , 国家专项计划    , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw08     , 专业组08  , 物理组    , 本科批B段    , 化学、生物, JMDXPBw0801   , 水产养殖学      ,          0,          0,            0,          0,          0,            0,          3,        496,        66012,        502,        512,        61709,          3,        531,        33357,      536.67,        546,        30906,          0,          0,            0,          0,          0,            0, 国家专项计划    , 国家专项计划    , "校本部，四年，5460元/年"
  3506, 集美大学  , 福建省厦门市, 综合类, 本科、公办, "航海、交通", 福建省  , JMDXPBw09     , 专业组09  , 物理组    , 本科批B段    , 不限    , JMDXPBw0901   , 少数民族预科班  ,          0,          0,            0,          0,          0,            0,          5,        534,        40403,       537.4,        542,        38653,          5,        505,        47634,        508.4,        511,        45936,          0,          0,            0,          0,          0,            0, 民族预科班      , 民族预科班      , "校本部，四年，5040元/年"
