院校ID, 院校名称    , 地区      , 类型  , 院校标签                      , 行业标签, 所属部委    , 专业组ID , 专业组名称, 专业组类别, 批次     , 选考科目, 专业ID     , 专业名称              , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签            , 专业组备注            , 专业备注
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPAw99, 专业组99   , 物理组    , 本科批A段, 化学    , BJYDDXPAw9901, 自动化类（智能机器人）,          0,          0,            0,          0,          0,            0,         1,          0,            0,          0,          0,            0,         1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 高校专项计划          , 高校专项计划          , "包含专业:自动化、机器人工程、机械工程（数字智能），办学地点在沙河校区，学费5500元/年"
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPBa01, 专业组01   , 物理组    , 本科批B段, 化学    , BJYDDXPBa0101, 电子信息类（元班）        ,          0,          0,            0,          0,          0,            0,         2,        648,            0,        649,        650,            0,          0,          0,            0,          0,          0,            0,         3,        636,            0,        641,        649,            0,                        ,                        , 沙河校区，四年，5500元/年
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPBa01, 专业组01   , 物理组    , 本科批B段, 化学    , BJYDDXPBa0102, 计算机类（元班）          ,          0,          0,            0,          0,          0,            0,         2,        650,            0,        652,        654,            0,         4,        642,            0,        647,        653,            0,          0,          0,            0,          0,          0,            0,                        ,                        , "沙河校区；包含专业：计算机科学与技术、网络空间安全，未来学院“元班”实验班。一年级在沙河校区，二、三、四年级将根据学校规划安排在沙河校区或西土城路校区，四年，5500元/年。2024年计划4人，实际录取5人，扩招1人"
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPBa02, 专业组02   , 物理组    , 本科批B段, 化学    , BJYDDXPBa0201, 低空航天与工程            ,          0,          0,            0,          0,          0,            0,         2,        640,            0,        640,        640,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                        ,                        , 一年级在沙河校区，二、三、四年级将根据学校规划安排在沙河校区或西土城路校区，四年，5500元/年
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPBa02, 专业组02   , 物理组    , 本科批B段, 化学    , BJYDDXPBa0202, 通信工程（大类招生）      ,          0,          0,            0,          0,          0,            0,        11,        640,            0,        642,        646,            0,        10,        639,            0,        640,        643,            0,        10,        631,            0,        633,        641,            0,                        ,                        , "包含专业：通信工程、电子信息工程、空间信息与数字技术。一年级在沙河校区，二、三、四年级将根据学校规划安排在沙河校区或西土城路校区，四年，5500元/年。2023年计划10人，实际录取12人，扩招2人；2025年计划11人，实际录取16人，扩招5人"
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPBa02, 专业组02   , 物理组    , 本科批B段, 化学    , BJYDDXPBa0203, 电子信息类（大类招生）    ,          0,          0,            0,          0,          0,            0,         8,        639,            0,        640,        641,            0,         8,        638,            0,        639,        641,            0,         8,        630,            0,        631,        634,            0,                        ,                        , "包含专业：电子科学与技术、电子信息科学与技术、光电信息科学与工程、集成电设计与集成系统。一年级在沙河校区，二、三、四年级将根据学校规划安排在沙河校区或西土城路校区，四年，5500元/年。2025年计划8人，实际录取13人，扩招5人"
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPBa02, 专业组02   , 物理组    , 本科批B段, 化学    , BJYDDXPBa0204, 计算机类                  ,          0,          0,            0,          0,          0,            0,         7,        640,            0,        643,        648,            0,         7,        640,            0,        641,        643,            0,         7,        633,            0,        634,        635,            0,                        ,                        , "包含专业：计算机科学与技术、网络工程、数据科学与大数据技术。一年级在沙河校区，二、三、四年级将根据学校规划安排在沙河校区或西土城路校区，四年，5500元/年。2025年计划7人，实际录取15人，扩招8人"
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPBa02, 专业组02   , 物理组    , 本科批B段, 化学    , BJYDDXPBa0205, 网络空间安全（大类招生）  ,          0,          0,            0,          0,          0,            0,         6,          0,            0,          0,          0,            0,         6,        635,            0,        637,        639,            0,         5,        627,            0,        629,        631,            0,                        ,                        , "包含专业：网络空间安全、信息安全、密码科学与技术。办学地点在沙河校区，四年，5500元/年。2023年计划5人，实际录取6人，扩招1人；2024年计划6人，实际录取7人，扩招1人"
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPBa02, 专业组02   , 物理组    , 本科批B段, 化学    , BJYDDXPBa0206, 人工智能（大类招生）      ,          0,          0,            0,          0,          0,            0,         7,        639,            0,        640,        640,            0,         6,        637,            0,        638,        639,            0,         7,        626,            0,        628,        630,            0,                        ,                        , "包含专业：人工智能、智能科学与技术、物联网工程。一年级在沙河校区，二、三、四年级将根据学校规划安排在沙河校区或西土城路校区，四年，5500元/年。2024年计划6人，实际录取7人，扩招1人；2025年计划7人，实际录取4人，缺额3人"
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPBa02, 专业组02   , 物理组    , 本科批B段, 化学    , BJYDDXPBa0207, 自动化类（智能机器人）    ,          0,          0,            0,          0,          0,            0,         7,        639,            0,        639,        639,            0,         5,        636,            0,        637,        638,            0,         4,        626,            0,        626,        627,            0,                        ,                        , "包含专业：自动化、机器人工程、机械工程（数字智能）。办学地点在沙河校区，四年，5500元/年。2023年计划4人，实际录取3人，缺额1人；2025年计划7人，实际录取1人，缺额6人"
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPBa02, 专业组02   , 物理组    , 本科批B段, 化学    , BJYDDXPBa0208, 智能交互设计              ,          0,          0,            0,          0,          0,            0,         3,          0,            0,          0,          0,            0,         2,        636,            0,        637,        638,            0,          0,          0,            0,          0,          0,            0,                        ,                        , 办学地点在沙河校区，四年，5500元/年。2024年国家专项计划2人
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPBa03, 专业组03   , 物理组    , 本科批B段, 化学    , BJYDDXPBa0301, 计算机类                  ,          0,          0,            0,          0,          0,            0,         2,        636,            0,        637,        637,            0,         2,        625,            0,        630,        638,            0,          0,          0,            0,          0,          0,            0, 国家专项计划          , 国家专项计划。2023年录取19人，最低分615，最高分633，平均分623；2024年计划13人，实际录取19人，扩招6人；2025年计划19人          , "包含专业：计算机科学与技术、网络工程、数据科学与大数据技术。一年级在沙河校区，二、三、四年级将根据学校规划安排在沙河校区或西土城路校区，四年，5500元/年。2024年国家专项计划2人"
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPBa03, 专业组03   , 物理组    , 本科批B段, 化学    , BJYDDXPBa0302, 自动化类（智能机器人）    ,          0,          0,            0,          0,          0,            0,         8,        627,            0,        630,        634,            0,         8,        625,            0,        630,        638,            0,          0,          0,            0,          0,          0,            0, 国家专项计划          , 国家专项计划。2023年录取19人，最低分615，最高分633，平均分623；2024年计划13人，实际录取19人，扩招6人；2025年计划19人          , "包含专业：自动化、机器人工程、机械工程（数字智能）。办学地点在沙河校区，四年，5500元/年。2024年国家专项计划8人"
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPBa03, 专业组03   , 物理组    , 本科批B段, 化学    , BJYDDXPBa0303, 理科试验班（数学与信息计算）,          0,          0,            0,          0,          0,            0,         6,        626,            0,        627,        629,            0,         3,        625,            0,        630,        638,            0,          0,          0,            0,          0,          0,            0, 国家专项计划          , 国家专项计划。2023年录取19人，最低分615，最高分633，平均分623；2024年计划13人，实际录取19人，扩招6人；2025年计划19人          , "包含专业：数学与应用数学、信息与计算科学（通信双学位）、统计学。办学地点在沙河校区，四年，5500元/年。2024年国家专项计划3人"
  1113, 北京邮电大学, 北京海淀区, 理工类, 211、双一流、两电一邮、101计划、本科、公办,          , 教育部      , BJYDDXPBa03, 专业组03   , 物理组    , 本科批B段, 化学    , BJYDDXPBa0304, 数字媒体技术              ,          0,          0,            0,          0,          0,            0,         3,        627,            0,        631,        640,            0,          0,        625,            0,        630,        638,            0,          0,          0,            0,          0,          0,            0, 国家专项计划          , 国家专项计划。2023年录取19人，最低分615，最高分633，平均分623；2024年计划13人，实际录取19人，扩招6人；2025年计划19人          , 办学地点在沙河校区，四年，5500元/年。2024年非国家专项专业
