院校ID,院校名称,地区,类型,院校标签,行业标签,所属部委,专业组ID,专业组名称,专业组类别,批次,选考科目,专业ID,专业名称,2026计划数,2026最低分,2026最低位次,2026平均分,2026最高分,2026最高位次,2025计划数,2025最低分,2025最低位次,2025平均分,2025最高分,2025最高位次,2024计划数,2024最低分,2024最低位次,2024平均分,2024最高分,2024最高位次,2023计划数,2023最低分,2023最低位次,2023平均分,2023最高分,2023最高位次,专业组标签,专业组备注,专业备注
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw99,专业组99,物理组,本科提前批,化学,SDJTXYw9901,船舶电子电气工程（航海类）,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,航海类,航海类,（威海校区）无色盲无复视；双眼裸视力均能达到4.6（0.4）及以上或双眼裸视力均能达到4.0（0.1）及以上且矫正视力均能达到4.6（0.4）及以上。因专业培养要求，非英语语种考生慎重报考，6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw01,专业组01,物理组,本科批,物理,SDJTXYw0101,金融科技,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（威海校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw01,专业组01,物理组,本科批,物理,SDJTXYw0102,工程管理,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw01,专业组01,物理组,本科批,物理,SDJTXYw0103,大数据管理与应用,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw01,专业组01,物理组,本科批,物理,SDJTXYw0104,物流工程,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）6600元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw02,专业组02,物理组,本科批,物理+化学,SDJTXYw0201,船舶与海洋工程,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,（威海校区）6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw02,专业组02,物理组,本科批,物理+化学,SDJTXYw0202,土木工程,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw02,专业组02,物理组,本科批,物理+化学,SDJTXYw0203,海洋机器人,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,（威海校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw02,专业组02,物理组,本科批,物理+化学,SDJTXYw0204,机械电子工程,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（威海校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw02,专业组02,物理组,本科批,物理+化学,SDJTXYw0205,交通运输,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（轨道交通运营与管理方向）（长清校区）无色盲、无色弱，6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw02,专业组02,物理组,本科批,物理+化学,SDJTXYw0206,轨道交通电气与控制,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）无色盲、无色弱，6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw02,专业组02,物理组,本科批,物理+化学,SDJTXYw0207,飞行器制造工程,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）无色盲、无色弱，因专业培养要求，非英语语种考生慎重报考，6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw02,专业组02,物理组,本科批,物理+化学,SDJTXYw0208,无人驾驶航空器系统工程,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw02,专业组02,物理组,本科批,物理+化学,SDJTXYw0209,计算机科学与技术,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）6600元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw02,专业组02,物理组,本科批,物理+化学,SDJTXYw0210,机器人工程,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw02,专业组02,物理组,本科批,物理+化学,SDJTXYw0211,人工智能,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）5500元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw02,专业组02,物理组,本科批,物理+化学,SDJTXYw0212,智慧交通,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）无色盲、无色弱，6325元/年
3729,山东交通学院,山东济南市,理工类,本科、公办,交通类,山东省,SDJTXYw02,专业组02,物理组,本科批,物理+化学,SDJTXYw0213,交通工程,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,（长清校区）无色盲、无色弱，6600元/年
