院校ID,院校名称,地区,类型,院校标签,行业标签,所属部委,专业组ID,专业组名称,专业组类别,批次,选考科目,专业ID,专业名称,2026计划数,2026最低分,2026最低位次,2026平均分,2026最高分,2026最高位次,2025计划数,2025最低分,2025最低位次,2025平均分,2025最高分,2025最高位次,2024计划数,2024最低分,2024最低位次,2024平均分,2024最高分,2024最高位次,2023计划数,2023最低分,2023最低位次,2023平均分,2023最高分,2023最高位次,专业组标签,专业组备注,专业备注
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXTQDw02,专业组02,物理组,提前本科批D段,物理、化学,QHDXPABw0202,机械工程,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,定向兵器工业,定向兵器工业（定向兵器工业）（定向生录取分数按我校招生章程执行，可在调档线下20分内择优录取）,"选科要求：首选物理，再选化学,5000元/年"
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXTQDw02,专业组02,物理组,提前本科批D段,物理、化学,QHDXPABw0201,核工程与核技术,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,定向中核,定向中核（定向中核）（定向生录取分数按我校招生章程执行，可在调档线下20分内择优录取）,"选科要求：首选物理，再选化学,5000元/年"
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXTQDw99,专业组99,物理组,提前本科批D段,物理、化学,QHDXPABw9901,工科试验班（土木水利）,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"选科要求：首选物理，再选化学,5000元/年"
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXTQDw99,专业组99,物理组,提前本科批D段,物理、化学,QHDXPABw9902,工科试验班（智能装备与智能制造）,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"选科要求：首选物理，再选化学,5000元/年"
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXTQDw99,专业组99,物理组,提前本科批D段,物理、化学,QHDXPABw9903,工科试验班（环境、化工与新材料）,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"选科要求：首选物理，再选化学,5000元/年"
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXTQDw99,专业组99,物理组,提前本科批D段,物理、化学,QHDXPABw9904,工科试验班（自动化）,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"选科要求：首选物理，再选化学,5000元/年"
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXTQDw99,专业组99,物理组,提前本科批D段,物理、化学,QHDXPABw9905,理科试验班（化生类）,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"选科要求：首选物理，再选化学,5000元/年"
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXTQDw99,专业组99,物理组,提前本科批D段,物理、化学,QHDXPABw9906,电子信息类,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"选科要求：首选物理，再选化学,5000元/年"
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXPAAw99,专业组99,物理组,本科批A段,物理、化学,QHDXPAAw9906,工科试验班（土木水利）,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高校专项计划,高校专项计划,"（高校专项计划包含专业交叉工程（等专业））选科要求：首选物理，再选化学,5000元/年"
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXPAAw99,专业组99,物理组,本科批A段,物理、化学,QHDXPAAw9901,工科试验班（智能装备与智能制造）,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高校专项计划,高校专项计划,"（高校专项计划包含专业车辆工程、机械工程（含实验班））选科要求：首选物理，再选化学,5000元/年"
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXPAAw99,专业组99,物理组,本科批A段,物理、化学,QHDXPAAw9904,工科试验班（环境、化工与新材料）,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高校专项计划,高校专项计划,"（高校专项计划包含专业交叉工程（等专业））选科要求：首选物理，再选化学,5000元/年"
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXPAAw99,专业组99,物理组,本科批A段,物理、化学,QHDXPAAw9905,工科试验班（自动化）,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高校专项计划,高校专项计划,"（高校专项计划包含专业交叉工程（等专业））选科要求：首选物理，再选化学,5000元/年"
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXPAAw99,专业组99,物理组,本科批A段,物理、化学,QHDXPAAw9903,理科试验班（化生类）,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高校专项计划,高校专项计划,"（高校专项计划包含专业化学、生物科学、化学工程与工业生物工程）选科要求：首选物理，再选化学,5000元/年"
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXPAAw99,专业组99,物理组,本科批A段,物理、化学,QHDXPAAw9902,电子信息类,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,高校专项计划,高校专项计划,"（高校专项计划包含专业电子信息科学与技术）选科要求：首选物理，再选化学,5000元/年"
1103,清华大学,北京海淀区,综合类,985、211、双一流、强基、101计划、C9、机械五虎、电气四虎、建筑老八校、公办、本科,综合类,教育部,QHDXPABw01,专业组01,物理组,本科批B段,物理、化学,QHDXPABw0113,临床医学类（协和）,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"（八年；校本部；包含专业：临床医学）选科要求：首选物理，再选化学,5000元/年"
