院校ID, 院校名称        , 地区      , 类型, 院校标签                        , 行业标签, 所属部委, 专业组ID    , 专业组名称, 专业组类别, 批次         , 选考科目, 专业ID        , 专业名称                      , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签  , 专业组备注                                      , 专业备注
  1131, 中国人民公安大学, 北京西城区, 警校, 警校、公办、本科、双一流、政法类, 政法    , 公安部  , ZGRMGATQBw01, 专业组01  , 物理组    , 提前本科批B段, 化学    , ZGRMGATQBw0101, 网络安全与执法（公安类）      ,          0,          0,            0,          0,          0,            0,          6,        640,         1698,     644.83,        658,            0,          0,        641,         1587,      642.5 ,        644,            0,          0,        627,         2290,     627   ,        627,            0,             , 只招男生、面向地方公安机关入警就业              , 面向地方公安机关入警就业、须参加省公安厅组织的政治考察、面试体检体能测评、具体要求详见《2025年公安院校公安专业在滇招生报考须知》、学费4600元/年
  1131, 中国人民公安大学, 北京西城区, 警校, 警校、公办、本科、双一流、政法类, 政法    , 公安部  , ZGRMGATQBw01, 专业组01  , 物理组    , 提前本科批B段, 化学    , ZGRMGATQBw0102, 刑事科学技术（公安类）        ,          0,          0,            0,          0,          0,            0,          4,        640,         1698,     644.5 ,        651,            0,          0,        628,         2931,     630.33,        635,            0,          0,        614,         3686,     617.5 ,        621,            0,             , 只招男生、面向地方公安机关入警就业              , 面向地方公安机关入警就业、须参加省公安厅组织的政治考察、面试体检体能测评、具体要求详见《2025年公安院校公安专业在滇招生报考须知》、学费4600元/年
  1131, 中国人民公安大学, 北京西城区, 警校, 警校、公办、本科、双一流、政法类, 政法    , 公安部  , ZGRMGATQBw01, 专业组01  , 物理组    , 提前本科批B段, 化学    , ZGRMGATQBw0103, 交通管理工程（公安类）        ,          0,          0,            0,          0,          0,            0,          4,        626,         3657,     627   ,        629,            0,          0,        615,         4834,     620   ,        630,            0,          0,        604,         5077,     605.5 ,        607,            0,             , 只招男生、面向地方公安机关入警就业              , 面向地方公安机关入警就业、须参加省公安厅组织的政治考察、面试体检体能测评、具体要求详见《2025年公安院校公安专业在滇招生报考须知》、学费4600元/年
  1131, 中国人民公安大学, 北京西城区, 警校, 警校、公办、本科、双一流、政法类, 政法    , 公安部  , ZGRMGATQBw01, 专业组01  , 物理组    , 提前本科批B段, 化学    , ZGRMGATQBw0104, 安全防范工程（公安类）        ,          0,          0,            0,          0,          0,            0,          4,        627,         3460,     630.25,        633,            0,          0,        620,         4051,     623.33,        628,            0,          0,        607,         4606,     615.33,        623,            0,             , 只招男生、面向地方公安机关入警就业              , 面向地方公安机关入警就业、须参加省公安厅组织的政治考察、面试体检体能测评、具体要求详见《2025年公安院校公安专业在滇招生报考须知》、学费4600元/年
  1131, 中国人民公安大学, 北京西城区, 警校, 警校、公办、本科、双一流、政法类, 政法    , 公安部  , ZGRMGATQBw01, 专业组01  , 物理组    , 提前本科批B段, 化学    , ZGRMGATQBw0105, 公安视听技术（公安类）        ,          0,          0,            0,          0,          0,            0,          4,        627,         3460,     628.5 ,        631,            0,          0,        618,         4340,     619.67,        622,            0,          0,        605,         4933,     608   ,        612,            0,             , 只招男生、面向地方公安机关入警就业              , 面向地方公安机关入警就业、须参加省公安厅组织的政治考察、面试体检体能测评、具体要求详见《2025年公安院校公安专业在滇招生报考须知》、学费4600元/年
  1131, 中国人民公安大学, 北京西城区, 警校, 警校、公办、本科、双一流、政法类, 政法    , 公安部  , ZGRMGATQBw01, 专业组01  , 物理组    , 提前本科批B段, 化学    , ZGRMGATQBw0106, 数据警务技术（公安类）        ,          0,          0,            0,          0,          0,            0,          4,        630,         2974,     635   ,        640,            0,          0,        624,         3485,     631   ,        641,            0,          0,        608,         4465,     611   ,        614,            0,             , 只招男生、面向地方公安机关入警就业              , 面向地方公安机关入警就业、须参加省公安厅组织的政治考察、面试体检体能测评、具体要求详见《2025年公安院校公安专业在滇招生报考须知》、学费4600元/年
  1131, 中国人民公安大学, 北京西城区, 警校, 警校、公办、本科、双一流、政法类, 政法    , 公安部  , ZGRMGATQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , ZGRMGATQBw0201, 刑事科学技术（公安类）        ,          0,          0,            0,          0,          0,            0,          1,        640,         1698,     640   ,        640,            0,          0,        640,         1698,     640   ,        640,            0,          0,          0,            0,          0,          0,            0,             , 只招女生、面向地方公安机关入警就业              , 面向地方公安机关入警就业、须参加省公安厅组织的政治考察、面试体检体能测评、具体要求详见《2025年公安院校公安专业在滇招生报考须知》、学费4600元/年
  1131, 中国人民公安大学, 北京西城区, 警校, 警校、公办、本科、双一流、政法类, 政法    , 公安部  , ZGRMGATQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , ZGRMGATQBw0202, 交通管理工程（公安类）        ,          0,          0,            0,          0,          0,            0,          1,        632,         2672,     632   ,        632,            0,          0,        648,         1123,     648   ,        648,            0,          0,        634,         1707,     634   ,        634,            0,             , 只招女生、面向地方公安机关入警就业              , 面向地方公安机关入警就业、须参加省公安厅组织的政治考察、面试体检体能测评、具体要求详见《2025年公安院校公安专业在滇招生报考须知》、学费4600元/年
  1131, 中国人民公安大学, 北京西城区, 警校, 警校、公办、本科、双一流、政法类, 政法    , 公安部  , ZGRMGATQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , ZGRMGATQBw0203, 安全防范工程（公安类）        ,          0,          0,            0,          0,          0,            0,          1,        633,         2517,     633   ,        633,            0,          0,        652,          921,     652   ,        652,            0,          0,        625,         2473,     625   ,        625,            0,             , 只招女生、面向地方公安机关入警就业              , 面向地方公安机关入警就业、须参加省公安厅组织的政治考察、面试体检体能测评、具体要求详见《2025年公安院校公安专业在滇招生报考须知》、学费4600元/年
  1131, 中国人民公安大学, 北京西城区, 警校, 警校、公办、本科、双一流、政法类, 政法    , 公安部  , ZGRMGATQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , ZGRMGATQBw0204, 公安视听技术（公安类）        ,          0,          0,            0,          0,          0,            0,          1,        630,         2974,     630   ,        630,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,             , 只招女生、面向地方公安机关入警就业              , 面向地方公安机关入警就业、须参加省公安厅组织的政治考察、面试体检体能测评、具体要求详见《2025年公安院校公安专业在滇招生报考须知》、学费4600元/年
