院校ID, 院校名称      , 地区      , 类型  , 院校标签          , 行业标签, 所属部委, 专业组ID, 专业组名称          , 专业组类别, 批次         , 选考科目, 专业ID    , 专业名称      , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签    , 专业组备注    , 专业备注
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNTQAw99, 免费医学生物理组不限, 物理组    , 提前本科批A段, 不限    , YNTQAw9901, 中医学        ,          0,          0,            0,          0,          0,            0,         21,        559,        35759,      559.0,        587,        0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 国家免费医学生, 国家免费医学生, 国家免费医学生、色盲色弱不予录取、学制五年、6000元/年
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNTQAw99, 免费医学生物理组不限, 物理组    , 提前本科批A段, 不限    , YNTQAw9902, 傣医学        ,          0,          0,            0,          0,          0,            0,          1,        533,        41041,      533.0,        533,        0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 国家免费医学生, 国家免费医学生, 国家免费医学生、色盲色弱不予录取、学制五年、5500元/年
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNTQAw98, 免费医学生物理组化学, 物理组    , 提前本科批A段, 化学    , YNTQAw9801, 中西医临床医学,          0,          0,            0,          0,          0,            0,          1,        519,        49983,      519.0,        519,        0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 国家免费医学生, 国家免费医学生, 国家免费医学生、色盲色弱不予录取、学制五年、6000元/年
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNPBw01, 专业组01          , 物理组    , 本科批B段    , 不限    , YNPBw0101, 公共事业管理    ,          0,          0,            0,          0,          0,            0,         25,        495,        66730,      502.7,        526,        0,         82,        478,        64646,      480.6,        491,        0,         87,        447,        72049,      463.5,        494,        0,                    ,                    , 呈贡校区、四年、4500元/年、征集志愿：录取人数20，最低分458，最低位次78527
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNPBw02, 专业组02          , 物理组    , 本科批B段    , 化学    , YNPBw0201, 中药学          ,          0,          0,            0,          0,          0,            0,        192,        503,        60983,      516.0,        557,        0,        170,        522,        38020,      526.4,        544,        0,        201,        504,        37615,      512.7,        551,        0,                    ,                    , 呈贡校区、色盲限制、四年、6000元/年、征集志愿：录取人数30，最低分518，最低位次40177
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNPBw02, 专业组02          , 物理组    , 本科批B段    , 化学    , YNPBw0202, 药学            ,          0,          0,            0,          0,          0,            0,        143,        507,        58183,      516.3,        536,        0,        152,        492,        55466,      499.3,        522,        0,        153,        479,        51468,      484.8,        514,        0,                    ,                    , 呈贡校区、色盲限制、四年、5500元/年
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNPBw02, 专业组02          , 物理组    , 本科批B段    , 化学    , YNPBw0203, 中草药栽培与鉴定  ,          0,          0,            0,          0,          0,            0,         52,        501,        62419,      504.8,        542,        0,         55,        478,        64646,      486.4,        509,        0,         55,        470,        56802,      473.7,        500,        0,                    ,                    , 呈贡校区、色盲色弱不录、四年、5500元/年
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNPBw02, 专业组02          , 物理组    , 本科批B段    , 化学    , YNPBw0204, 中药资源与开发    ,          0,          0,            0,          0,          0,            0,         44,        501,        62419,      504.7,        517,        0,         50,        478,        64646,      485.1,        499,        0,         51,        470,        56802,      474.6,        486,        0,                    ,                    , 呈贡校区、色盲限制、四年、5500元/年
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNPBw02, 专业组02          , 物理组    , 本科批B段    , 化学    , YNPBw0205, 食品质量与安全    ,          0,          0,            0,          0,          0,            0,         43,        501,        62419,      507.4,        526,        0,         49,        479,        64001,      487.4,        501,        0,         49,        470,        56802,      476.4,        491,        0,                    ,                    , 呈贡校区、色盲色弱不录、四年、5000元/年
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNPBw02, 专业组02          , 物理组    , 本科批B段    , 化学    , YNPBw0206, 制药工程        ,          0,          0,            0,          0,          0,            0,         43,        514,        53307,      522.2,        547,        0,         45,        488,        58105,      494.2,        512,        0,         46,        476,        53158,      481.2,        496,        0,                    ,                    , 呈贡校区、色盲色弱不录、四年、5000元/年
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNPBw02, 专业组02          , 物理组    , 本科批B段    , 化学    , YNPBw0207, 药物制剂        ,          0,          0,            0,          0,          0,            0,         42,        503,        60983,      510.3,        538,        0,         46,        485,        60046,      489.8,        513,        0,         47,        476,        53158,      479.0,        487,        0,                    ,                    , 呈贡校区、视力要求、四年、5500元/年
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNPBw02, 专业组02          , 物理组    , 本科批B段    , 化学    , YNPBw0208, 生物制药        ,          0,          0,            0,          0,          0,            0,         29,        507,        58183,      512.1,        544,        0,         32,        489,        57448,      494.1,        508,        0,         33,        477,        52603,      481.2,        493,        0,                    ,                    , 呈贡校区、色盲色弱不录、四年、5000元/年
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , YNPBw0301, 康复治疗学      ,          0,          0,            0,          0,          0,            0,         19,        526,        45400,      530.4,        548,        0,         19,        500,        50530,      505.1,        527,        0,         18,        486,        47425,      487.8,        498,        0,                    ,                    , 呈贡校区、色盲色弱不录、四年、5500元/年
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNPBw04, 专业组04          , 物理组    , 本科批B段    , 化学    , YNPBw0401, 医学信息工程    ,          0,          0,            0,          0,          0,            0,         93,        506,        58868,      512.1,        536,        0,        105,        480,        63338,      487.5,        505,        0,        110,        471,        56202,      476.4,        493,        0,                    ,                    , 呈贡校区、四年、5000元/年
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNPBw04, 专业组04          , 物理组    , 本科批B段    , 化学    , YNPBw0402, 智能医学工程    ,          0,          0,            0,          0,          0,            0,         48,        510,        56116,      517.6,        556,        0,         50,        484,        60708,      491.3,        500,        0,          0,          0,            0,          0,          0,            0,                    ,                    , 呈贡校区、色盲色弱不录、四年、5500元/年
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNPBw05, 专业组05          , 物理组    , 本科批B段    , 不限    , YNPBw0501, 中医学          ,          0,          0,            0,          0,          0,            0,        108,        544,        34605,      554.3,        585,        0,         80,        546,        26333,      552.9,        567,        0,         80,        529,        25973,      535.1,        549,        0, 国家专项计划  , 国家专项计划    , 呈贡校区、国家专项计划、色盲色弱不录、学制五年、6000元/年
  5305, 云南中医药大学, 云南昆明市, 医药类, 公办、本科、医药类, 医药    , 云南省    , YNPBw06, 专业组06          , 物理组    , 本科批B段    , 不限    , YNPBw0601, 中医学          ,          0,          0,            0,          0,          0,            0,         27,        542,        35759,      549.8,        565,        0,         13,        553,        23305,      555.7,        560,        0,          5,        542,        20901,      544.2,        548,        0, 地方专项计划  , 地方专项计划    , 呈贡校区、地方专项计划、色盲色弱不录、学制五年、6000元/年
