院校ID, 院校名称    , 地区      , 类型  , 院校标签                              , 行业标签, 所属部委, 专业组ID  , 专业组名称        , 专业组类别, 批次         , 选考科目, 专业ID      , 专业名称                          , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签            , 专业组备注                , 专业备注
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMTQAw01, 免费医学生物理组化学, 物理组    , 提前本科批A段, 化学    , KMTQAw0101, 临床医学                          ,          0,          0,            0,          0,          0,            0,         60,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,         67,        530,        32000,        555,        597,         6500, 国家免费医学生          , 国家免费医学生              , 填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年免费定向计划考生须知》，学制五年，免学费
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw01, 专业组01          , 物理组    , 本科批B段    , 不限    , KMKPBw0101, 运动康复                        ,          0,          0,            0,          0,          0,            0,         38,        522,        48100,        528.8,        580,        16983,         34,        495,        53556,        499.5,        505,        47634,          0,          0,            0,          0,          0,            0,                       ,                           , 校本部，四年，4500元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw01, 专业组01          , 物理组    , 本科批B段    , 不限    , KMKPBw0102, 劳动与社会保障                    ,          0,          0,            0,          0,          0,            0,         30,        515,        52642,        524.6,        538,        38037,         30,        492,        55466,        501.1,        518,        40177,          0,          0,            0,          0,          0,            0,                       ,                           , 校本部，四年，4500元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw01, 专业组01          , 物理组    , 本科批B段    , 不限    , KMKPBw0103, 市场营销                          ,          0,          0,            0,          0,          0,            0,         30,        515,        52642,        520.3,        528,        44143,         18,        492,        55466,          501,        515,        41877,         15,        472,        63186,          475,        479,        59863,                       ,                           , 校本部，四年，4500元/年，有征集志愿（2024年征集最低分458，征集最低位次78527，征集最高分497，征集最高位次52334，征集人数12；2023年征集最低分443，征集最低位次86842，征集最高分488，征集最高位次52334，征集人数20）
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw01, 专业组01          , 物理组    , 本科批B段    , 不限    , KMKPBw0104, 法学                              ,          0,          0,            0,          0,          0,            0,         23,        532,        41680,        538.2,        570,        21389,         25,        503,        48778,        510.8,        524,        36994,         30,        481,        57300,        491,        503,        48778,                       ,                           , 校本部，四年，4500元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw01, 专业组01          , 物理组    , 本科批B段    , 不限    , KMKPBw0105, 健康服务与管理                    ,          0,          0,            0,          0,          0,            0,         14,        518,        50619,        522.9,        538,        38037,         15,        493,        54812,          497,        501,        49934,          0,          0,            0,          0,          0,            0,                       ,                           , 校本部，四年，4500元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw02, 专业组02          , 物理组    , 本科批B段    , 化学    , KMKPBw0201, 临床医学（交大医学班）            ,          0,          0,            0,          0,          0,            0,         35,        620,         4699,        623.6,        635,         2260,         35,        618,         4340,        628.5,        646,         1240,         35,        617,         4457,        624,        650,         1538,                       ,                           , 交大医学班，校本部，五年，6000元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0301, 临床医学                          ,          0,          0,            0,          0,          0,            0,        591,        573,        20029,        587.6,        620,         4699,        749,        551,        24162,          587,        617,         4513,        747,        569,        20029,        585,        624,         2633,                       ,                           , 五年，6000元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0302, 儿科学                            ,          0,          0,            0,          0,          0,            0,        180,        560,        26012,        565.3,        586,        14637,        210,        539,        29517,        550.1,        584,        12146,        210,        517,        35000,        544,        594,        10800,                       ,                           , 五年，5500元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0303, 药学                              ,          0,          0,            0,          0,          0,            0,        128,        540,        36922,        548.7,        568,        22302,        169,        528,        34935,          536,        566,        18216,          0,          0,            0,          0,          0,            0,                       ,                           , 四年，5500元/年，有征集志愿（征集最低分525，征集最低位次36476，征集最高分575，征集最高位次14980，征集人数32）
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0304, 康复治疗学                        ,          0,          0,            0,          0,          0,            0,        124,        538,        38037,          541,        564,        24086,         40,        528,        34935,          536,        552,        23724,         30,        506,        53429,        512,        541,        32534,                       ,                           , 四年，5500元/年，有征集志愿（征集最低分526，征集最低位次35957，征集最高分564，征集最高位次18967，征集人数9；2023年征集最低分506，征集最低位次53429，征集最高分541，征集最高位次32534，征集人数30）
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0305, 预防医学                        ,          0,          0,            0,          0,          0,            0,        111,        545,        34052,        552.6,        570,        21389,        131,        528,        34935,        535.4,        559,        20863,          0,          0,            0,          0,          0,            0,                       ,                           , 五年，6000元/年，有征集志愿（征集最低分537，征集最低位次30430，征集最高分582，征集最高位次12740，征集人数10）
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0306, 口腔医学                        ,          0,          0,            0,          0,          0,            0,         95,        587,        14254,        599.9,        622,         4329,         95,        597,         8647,        607.8,        633,         2369,         95,        595,         8788,          604,        644,         2163,                       ,                           , 五年，6000元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0307, 医学影像学                      ,          0,          0,            0,          0,          0,            0,         81,        568,        22302,        572.4,        599,        10210,         89,        544,        27168,        562.4,        589,        10697,          0,          0,            0,          0,          0,            0,                       ,                           , 五年，5500元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0308, 麻醉学                          ,          0,          0,            0,          0,          0,            0,         79,        571,        20930,        577.6,        622,         4329,         88,        546,        26333,        568.3,        612,         5342,         98,        564,        24162,          570,        600,         4953,                       ,                           , 五年，5500元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0309, 临床药学                        ,          0,          0,            0,          0,          0,            0,         77,        550,        31275,        559.2,        602,         9305,         77,        532,        32868,        539.8,        591,        10130,         77,        512,        34052,        532,        597,         5558,                       ,                           , 五年，6000元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0310, 精神医学                        ,          0,          0,            0,          0,          0,            0,         60,        549,        31830,        561.1,        606,         8153,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                       ,                           , 五年，5500元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0311, 眼视光医学                      ,          0,          0,            0,          0,          0,            0,         60,        566,        23188,        571.3,        604,         8700,         60,        542,        28090,        561.1,        583,        12430,          0,          0,            0,          0,          0,            0,                       ,                           , 五年，5500元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0312, 医学检验技术                    ,          0,          0,            0,          0,          0,            0,         45,        552,        30166,        558.9,        576,        18720,         45,        535,        31408,        544,        565,        18598,          0,          0,            0,          0,          0,            0,                       ,                           , 四年，5500元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0313, 药物制剂                        ,          0,          0,            0,          0,          0,            0,         43,        538,        38037,          553,        560,        26012,         45,        502,        49363,        508.9,        531,        33357,          0,          0,            0,          0,          0,            0,                       ,                           , 四年，5500元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0314, 食品卫生与营养学                ,          0,          0,            0,          0,          0,            0,         40,        540,        36922,        542.3,        561,        25533,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                       ,                           , 四年，5500元/年
  5305, 昆明医科大学, 云南昆明市, 医药类, 公办                              , 医药    , 云南省  , KMKPBw03, 专业组03          , 物理组    , 本科批B段    , 化学    , KMKPBw0315, 老年医学与健康                  ,          0,          0,            0,          0,          0,            0,         40,        538,        38037,        547.3,        569,        21863,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                       ,                           , 四年，5500元/年
