院校ID, 院校名称    , 地区      , 类型  , 院校标签                              , 行业标签, 所属部委, 专业组ID  , 专业组名称        , 专业组类别, 批次         , 选考科目, 专业ID      , 专业名称                          , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签            , 专业组备注                , 专业备注
  5318, 楚雄师范学院, 云南楚雄市, 师范类, 公办                                  , 教育    , 云南省教育厅, CXSFBTQA01, 地方免费师范生物理组, 物理组    , 提前本科批A段, 不限    , CXSFBTQA0101, 小学教育（师范类）              ,          0,          0,            0,          0,          0,            0,         63,          0,            0,          0,          0,            0,         94,        469,        70856,          0,          0,            0,        110,          0,            0,          0,          0,            0, 地方免费师范生、免学费  , 地方免费师范生              , 小学全科教师、地方免费师范生，填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年免费定向计划考生须知》、免学费
  5318, 楚雄师范学院, 云南楚雄市, 师范类, 公办                                  , 教育    , 云南省教育厅, CXSFBTQA01, 地方免费师范生物理组, 物理组    , 提前本科批A段, 不限    , CXSFBTQA0102, 应用心理学（师范类）            ,          0,          0,            0,          0,          0,            0,         16,          0,            0,          0,          0,            0,         16,        466,        72926,          0,          0,            0,         13,          0,            0,          0,          0,            0, 地方免费师范生、免学费  , 地方免费师范生              , 初中一专多能教师、地方免费师范生，填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年免费定向计划考生须知》、免学费
  5318, 楚雄师范学院, 云南楚雄市, 师范类, 公办                                  , 教育    , 云南省教育厅, CXSFBTQA02, 优师计划物理组不限, 物理组    , 提前本科批A段, 不限    , CXSFBTQA0201, 小学教育（师范类）              ,          0,          0,            0,          0,          0,            0,         41,          0,            0,          0,          0,            0,         94,        557,        21670,          0,          0,            0,          0,          0,            0,          0,          0,            0, 优师专项、免学费        , 优师专项                      , 优师专项，填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年优师专项考生须知》、免学费
  5318, 楚雄师范学院, 云南楚雄市, 师范类, 公办                                  , 教育    , 云南省教育厅, CXSFBTQA02, 优师计划物理组不限, 物理组    , 提前本科批A段, 不限    , CXSFBTQA0202, 应用心理学（师范类）            ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,         15,        555,        22520,          0,          0,            0,          0,          0,            0,          0,          0,            0, 优师专项、免学费        , 优师专项                      , 优师专项，填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年优师专项考生须知》、免学费
  5318, 楚雄师范学院, 云南楚雄市, 师范类, 公办                                  , 教育    , 云南省教育厅, CXSFBTQA03, 优师计划物理组化学, 物理组    , 提前本科批A段, 化学    , CXSFBTQA0301, 物理学（师范类）                ,          0,          0,            0,          0,          0,            0,         29,          0,            0,          0,          0,            0,         20,        581,        13036,          0,          0,            0,          0,          0,            0,          0,          0,            0, 优师专项、免学费        , 优师专项                      , 优师专项，填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年优师专项考生须知》、免学费
  5318, 楚雄师范学院, 云南楚雄市, 师范类, 公办                                  , 教育    , 云南省教育厅, CXSFBTQA04, 优师计划物理组地理, 物理组    , 提前本科批A段, 地理    , CXSFBTQA0401, 地理科学（师范类）              ,          0,          0,            0,          0,          0,            0,         11,          0,            0,          0,          0,            0,          8,        569,        17095,          0,          0,            0,          0,          0,            0,          0,          0,            0, 优师专项、免学费        , 优师专项                      , 优师专项，填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年优师专项考生须知》、免学费
  5318, 楚雄师范学院, 云南楚雄市, 师范类, 公办                                  , 教育    , 云南省教育厅, CXSFB PBw01, 专业组01          , 物理组    , 本科批B段    , 不限    , CXSFB PBw0101, 科学教育（师范类）              ,          0,          0,            0,          0,          0,            0,         23,          0,            0,          0,          0,            0,         41,        465,        73595,          0,          0,            0,         41,          0,            0,          0,          0,            0,                       ,                           , 校本部，四年，4200元/年
  5318, 楚雄师范学院, 云南楚雄市, 师范类, 公办                                  , 教育    , 云南省教育厅, CXSFB PBw01, 专业组01          , 物理组    , 本科批B段    , 不限    , CXSFB PBw0102, 教育技术学（师范类）            ,          0,          0,            0,          0,          0,            0,         22,          0,            0,          0,          0,            0,         26,        464,        74236,          0,          0,            0,         31,          0,            0,          0,          0,            0,                       ,                           , 校本部，四年，5000元/年
  5318, 楚雄师范学院, 云南楚雄市, 师范类, 公办                                  , 教育    , 云南省教育厅, CXSFB PBw01, 专业组01          , 物理组    , 本科批B段    , 不限    , CXSFB PBw0103, 公共事业管理                    ,          0,          0,            0,          0,          0,            0,         15,          0,            0,          0,          0,            0,         17,        450,        84101,          0,          0,            0,         22,          0,            0,          0,          0,            0,                       ,                           , 校本部，四年，4500元/年
  5318, 楚雄师范学院, 云南楚雄市, 师范类, 公办                                  , 教育    , 云南省教育厅, CXSFB PBw01, 专业组01          , 物理组    , 本科批B段    , 不限    , CXSFB PBw0104, 财务管理                      ,          0,          0,            0,          0,          0,            0,         15,          0,            0,          0,          0,            0,         12,        475,        66771,          0,          0,            0,         17,          0,            0,          0,          0,            0,                       ,                           , 校本部，四年，4500元/年
