院校ID, 院校名称                  , 地区      , 类型  , 院校标签                                                 , 行业标签  , 所属部委    , 专业组ID     , 专业组名称, 专业组类别, 批次         , 选考科目, 专业ID       , 专业名称                                    , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签, 专业组备注, 专业备注
9116, 海军工程大学                , 湖北武汉  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军海军  , HJGCDXTQBw01, 专业组01  , 物理组    , 提前本科批B段, 化学    , HJGCDXTQBw0101, 轮机工程（海警部队舰艇机电初级指挥警官）      ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检舰艇岗位合格、免学费"
9116, 海军工程大学                , 湖北武汉  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军海军  , HJGCDXTQBw01, 专业组01  , 物理组    , 提前本科批B段, 化学    , HJGCDXTQBw0102, 船舶与海洋工程（舰船海上补给、运输投送保障初级指挥军官）,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检舰艇岗位合格、免学费"
9116, 海军工程大学                , 湖北武汉  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军海军  , HJGCDXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , HJGCDXTQBw0201, 电气工程及其自动化（潜艇机电初级指挥与技术军官）    ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检潜艇岗位合格、免学费"
9116, 海军工程大学                , 湖北武汉  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军海军  , HJGCDXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , HJGCDXTQBw0202, 轮机工程（潜艇机电初级指挥与技术军官）          ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检潜艇岗位合格、免学费"
9116, 海军工程大学                , 湖北武汉  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军海军  , HJGCDXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , HJGCDXTQBw0203, 核工程与核技术（潜艇核动力初级指挥与技术军官）    ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检潜艇岗位合格、免学费"
9116, 海军工程大学                , 湖北武汉  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军海军  , HJGCDXTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , HJGCDXTQBw0301, 工程物理（核装备运用与保障初级技术军官）        ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费"
9116, 海军工程大学                , 湖北武汉  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军海军  , HJGCDXTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , HJGCDXTQBw0302, 军港勤务工程（舰艇军需、能源保障初级指挥军官）    ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费"
9116, 海军工程大学                , 湖北武汉  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军海军  , HJGCDXTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , HJGCDXTQBw0303, 装备保障（装备保障初级技术军官）                ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费"
9116, 海军工程大学                , 湖北武汉  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军海军  , HJGCDXTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , HJGCDXTQBw0304, 水声工程（水声工程初级技术军官）                ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费"
9116, 海军工程大学                , 湖北武汉  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军海军  , HJGCDXTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , HJGCDXTQBw0305, 船舶与海洋工程（舰艇总体技术保障初级技术军官）    ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费"
