院校ID, 院校名称    , 地区      , 类型, 院校标签            , 行业标签  , 所属部委    , 专业组ID  , 专业组名称, 专业组类别, 批次         , 选考科目, 专业ID     , 专业名称                                                      , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签, 专业组备注                                              , 专业备注
  9137, 网络空间部队信息工程大学, 河南郑州市, 军校, 军校、公办、本科, 军事    , 解放军战略支援部队, WLKJBDXXGCDXTQBw01, 专业组01  , 物理组    , 提前本科批B段, 化学    , WLKJBDXXGCDXTQBw0101, 作战环境工程（环境仿真、效能评估与态势推演初级技术军官）,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,           , 只招男生                                                , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检测绘岗位合格、免学费
  9137, 网络空间部队信息工程大学, 河南郑州市, 军校, 军校、公办、本科, 军事    , 解放军战略支援部队, WLKJBDXXGCDXTQBw01, 专业组01  , 物理组    , 提前本科批B段, 化学    , WLKJBDXXGCDXTQBw0102, 遥感科学与技术（遥感测绘、图像解译初级技术军官）        ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,           , 只招男生                                                , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检测绘岗位合格、免学费
  9137, 网络空间部队信息工程大学, 河南郑州市, 军校, 军校、公办、本科, 军事    , 解放军战略支援部队, WLKJBDXXGCDXTQBw01, 专业组01  , 物理组    , 提前本科批B段, 化学    , WLKJBDXXGCDXTQBw0103, 地理空间信息工程（地理空间数据管理初级技术军官）        ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,           , 只招男生                                                , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检测绘岗位合格、免学费
  9137, 网络空间部队信息工程大学, 河南郑州市, 军校, 军校、公办、本科, 军事    , 解放军战略支援部队, WLKJBDXXGCDXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , WLKJBDXXGCDXTQBw0201, 侦察情报（情报综合研究初级指挥与技术军官）              ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,           , 只招男生                                                , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、该专业对考生的政治条件有特别要求、须按要求开展走访工作、免学费
  9137, 网络空间部队信息工程大学, 河南郑州市, 军校, 军校、公办、本科, 军事    , 解放军战略支援部队, WLKJBDXXGCDXTQBw03, 专业组03  , 物理组    , 提前本科批B段, 不限    , WLKJBDXXGCDXTQBw0301, 保密管理（保密管理初级指挥与技术军官）                  ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,           , 只招男生                                                , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、该专业对考生的政治条件有特别要求、须按要求开展走访工作、免学费
  9137, 网络空间部队信息工程大学, 河南郑州市, 军校, 军校、公办、本科, 军事    , 解放军战略支援部队, WLKJBDXXGCDXTQBw04, 专业组04  , 物理组    , 提前本科批B段, 化学    , WLKJBDXXGCDXTQBw0401, 网络空间安全（网络安全初级技术军官）                  ,          0,          0,            0,          0,          0,            0,          4,          0,            0,          0,          0,            0,          4,          0,            0,          0,          0,            0,          4,          0,            0,          0,          0,            0,           , 只招男生                                                , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、该专业对考生的政治条件有特别要求、须按要求开展走访工作、免学费
  9137, 网络空间部队信息工程大学, 河南郑州市, 军校, 军校、公办、本科, 军事    , 解放军战略支援部队, WLKJBDXXGCDXTQBw04, 专业组04  , 物理组    , 提前本科批B段, 化学    , WLKJBDXXGCDXTQBw0402, 信息安全（信息安全技术与应用初级指挥与技术军官）      ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,           , 只招男生                                                , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、该专业对考生的政治条件有特别要求、须按要求开展走访工作、免学费
  9137, 网络空间部队信息工程大学, 河南郑州市, 军校, 军校、公办、本科, 军事    , 解放军战略支援部队, WLKJBDXXGCDXTQBw04, 专业组04  , 物理组    , 提前本科批B段, 化学    , WLKJBDXXGCDXTQBw0403, 密码学（密码科学研究初级指挥与技术军官）                ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,           , 只招男生                                                , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、该专业对考生的政治条件有特别要求、须按要求开展走访工作、免学费
  9137, 网络空间部队信息工程大学, 河南郑州市, 军校, 军校、公办、本科, 军事    , 解放军战略支援部队, WLKJBDXXGCDXTQBw04, 专业组04  , 物理组    , 提前本科批B段, 化学    , WLKJBDXXGCDXTQBw0404, 密码工程（密码系统工程初级指挥与技术军官）              ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,           , 只招男生                                                , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、该专业对考生的政治条件有特别要求、须按要求开展走访工作、免学费
  9137, 网络空间部队信息工程大学, 河南郑州市, 军校, 军校、公办、本科, 军事    , 解放军战略支援部队, WLKJBDXXGCDXTQBw04, 专业组04  , 物理组    , 提前本科批B段, 化学    , WLKJBDXXGCDXTQBw0405, 量子信息科学（量子通信、量子计算初级技术军官）        ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,           , 只招男生                                                , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、该专业对考生的政治条件有特别要求、须按要求开展走访工作、免学费
