院校ID, 院校名称    , 地区      , 类型, 院校标签                    , 行业标签  , 所属部委    , 专业组ID , 专业组名称, 专业组类别, 批次         , 选考科目, 专业ID     , 专业名称                                                      , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签, 专业组备注, 专业备注
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw01, 专业组01  , 物理组    , 提前本科批B段, 不限    , LZBTQBw0101, 作战指挥（侦察兵分队初级指挥军官（特种作战侦察））            ,          0,          0,            0,          0,          0,            0,          4,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw01, 专业组01  , 物理组    , 提前本科批B段, 不限    , LZBTQBw0102, 作战指挥（炮兵分队初级指挥军官）                            ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw01, 专业组01  , 物理组    , 提前本科批B段, 不限    , LZBTQBw0103, 作战指挥（弹炮结合分队初级指挥军官）                            ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , LZBTQBw0201, 指挥信息系统工程（炮兵保障分队初级指挥军官）                        ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , LZBTQBw0202, 雷达工程（防空兵保障分队初级指挥与技术军官）                        ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , LZBTQBw0203, 导弹工程（反坦克导弹初级指挥军官）                              ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , LZBTQBw0204, 导弹工程（防空导弹分队初级指挥军官）                              ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , LZBTQBw0205, 指挥信息系统工程（防空兵保障分队初级指挥军官）                      ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , LZBTQBw0206, 雷达工程（炮兵保障分队初级指挥军官）                              ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , LZBTQBw0207, 导弹工程（防空导弹分队初级指挥与技术警官）                          ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , LZBTQBw0208, 管理科学（炮兵分队初级指挥军官）                              ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , LZBTQBw0209, 管理科学（高炮分队初级指挥军官）                              ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , LZBTQBw0301, 计算机科学与技术（防空导弹分队初级指挥军官）                        ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , LZBTQBw0302, 机械工程（炮兵分队初级指挥军官）                              ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , LZBTQBw0303, 通信工程（防空兵保障分队初级指挥军官）                              ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , LZBTQBw0304, 计算机科学与技术（炮兵分队初级指挥军官）                          ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
  9107, 陆军兵种大学, 安徽合肥市, 军校, 军工六校、公办、本科,           , 解放军总参谋部, LZBTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , LZBTQBw0305, 武器系统与工程（炮兵分队初级指挥军官）                          ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           ,           , 只招英语语种、高考成绩须达到特殊类型资格线、只招男生、体检通用标准合格、免学费
