院校ID, 院校名称    , 地区      , 类型  , 院校标签                     , 行业标签, 所属部委, 专业组ID  , 专业组名称        , 专业组类别, 批次         , 选考科目, 专业ID      , 专业名称                  , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签                    , 专业组备注                   , 专业备注
  6115, 陕西师范大学, 陕西西安市, 师范类, 211、双一流、师大六姐妹、公办,         , 教育部  , SXSFTQAw99, 优师计划物理组化学, 物理组    , 提前本科批A段, 化学    , SXSFTQAw9901, 化学（师范类）            ,          0,          0,            0,          0,          0,            0,          6,        608,            0,    613.5,        623,            0,          9,        603,            0,    614.1,        622,            0,          9,        599,            0,    609.6,        624,            0, 优师专项、免学费              , 优师专项 免学费              , 不招收色盲、色弱及单色识别不全考生，填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年优师专项考生须知》
  6115, 陕西师范大学, 陕西西安市, 师范类, 211、双一流、师大六姐妹、公办,         , 教育部  , SXSFTQAw99, 优师计划物理组化学, 物理组    , 提前本科批A段, 化学    , SXSFTQAw9902, 生物科学（师范类）        ,          0,          0,            0,          0,          0,            0,          6,        609,            0,    614.2,        619,            0,          8,        600,            0,      613,        640,            0,          8,        589,            0,    600.9,        610,            0, 优师专项、免学费              , 优师专项 免学费              , 不招收色盲、色弱及单色识别不全考生，填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年优师专项考生须知》
  6115, 陕西师范大学, 陕西西安市, 师范类, 211、双一流、师大六姐妹、公办,         , 教育部  , SXSFTQAw98, 优师计划物理组地理, 物理组    , 提前本科批A段, 地理    , SXSFTQAw9801, 地理科学（师范类）        ,          0,          0,            0,          0,          0,            0,          5,        613,            0,    621.2,        628,            0,          7,        602,            0,    608.3,        616,            0,          7,        582,            0,    600.9,        609,            0, 优师专项、免学费              , 优师专项 免学费              , 不招色盲、单色识别不全者，填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年优师专项考生须知》
  6115, 陕西师范大学, 陕西西安市, 师范类, 211、双一流、师大六姐妹、公办,         , 教育部  , SXSFTQAw99, 优师计划物理组化学, 物理组    , 提前本科批A段, 化学    , SXSFTQAw9903, 数学与应用数学（师范类）  ,          0,          0,            0,          0,          0,            0,          4,        620,            0,    622.5,        628,            0,          8,        608,            0,    615.3,        631,            0,          9,        599,            0,    605.4,        623,            0, 优师专项、免学费              , 优师专项 免学费              , 填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年优师专项考生须知》
  6115, 陕西师范大学, 陕西西安市, 师范类, 211、双一流、师大六姐妹、公办,         , 教育部  , SXSFTQAw99, 优师计划物理组化学, 物理组    , 提前本科批A段, 化学    , SXSFTQAw9904, 物理学（师范类）          ,          0,          0,            0,          0,          0,            0,          4,        615,            0,    618.5,        627,            0,          4,        611,            0,    613.3,        616,            0,          9,        589,            0,    598.8,        610,            0, 优师专项、免学费              , 优师专项 免学费              , 填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年优师专项考生须知》
  6115, 陕西师范大学, 陕西西安市, 师范类, 211、双一流、师大六姐妹、公办,         , 教育部  , SXSFTQAw97, 优师计划物理组不限, 物理组    , 提前本科批A段, 不限    , SXSFTQAw9701, 英语（师范类）            ,          0,          0,            0,          0,          0,            0,          2,        618,            0,      619,        620,            0,          1,        626,            0,      626,        626,            0,          1,        599,            0,      599,        599,            0, 优师专项、免学费              , 优师专项 免学费              , 只招英语语种，填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年优师专项考生须知》
  6115, 陕西师范大学, 陕西西安市, 师范类, 211、双一流、师大六姐妹、公办,         , 教育部  , SXSFTQDw01, 专业组01          , 物理组    , 提前本科批D段, 化学    , SXSFTQDw0101, 物理学（师范类）          ,          0,          0,            0,          0,          0,            0,          2,        633,            0,      634,        635,            0,          1,        643,            0,      643,        643,            0,          3,        621,            0,    623.3,        626,            0, 公费师范生、免学费            , 国家公费师范生本研衔接培养   , 定向任教地:红河州、临沧市
  6115, 陕西师范大学, 陕西西安市, 师范类, 211、双一流、师大六姐妹、公办,         , 教育部  , SXSFTQDw02, 专业组02          , 物理组    , 提前本科批D段, 化学    , SXSFTQDw0201, 计算机科学与技术（师范类）,          0,          0,            0,          0,          0,            0,          1,        644,            0,      644,        644,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 公费师范生、免学费            , 国家公费师范生本研衔接培养   , 定向任教地:昆明市
  6115, 陕西师范大学, 陕西西安市, 师范类, 211、双一流、师大六姐妹、公办,         , 教育部  , SXSFTQDw03, 专业组03          , 物理组    , 提前本科批D段, 地理    , SXSFTQDw0301, 地理科学（师范类）        ,          0,          0,            0,          0,          0,            0,          3,        628,            0,    629.7,        632,            0,          2,        629,            0,    629.5,        630,            0,          0,          0,            0,          0,          0,            0, 公费师范生、免学费            , 国家公费师范生本研衔接培养   , 定向任教地:昆明市、红河州，不招色盲、单色识别不全者
  6115, 陕西师范大学, 陕西西安市, 师范类, 211、双一流、师大六姐妹、公办,         , 教育部  , SXSFTQDw04, 专业组04          , 物理组    , 提前本科批D段, 化学    , SXSFTQDw0401, 化学（师范类）            ,          0,          0,            0,          0,          0,            0,          3,        630,            0,      631,        632,            0,          2,        634,            0,      634,        634,            0,          0,          0,            0,          0,          0,            0, 公费师范生、免学费            , 国家公费师范生本研衔接培养   , 定向任教地:昆明市、普洱市，不招收色盲、色弱及单色识别不全考生
